I_E_FLAG,END_DATE,DECL_PORT,I_E_PORT,DELAY
E,2018-10-28 08:00:03,3708,3708,0
E,2018-10-28 08:14:13,3708,3708,401
E,2018-10-28 08:22:02,3708,3708,623
E,2018-10-28 08:26:42,3708,3708,755
E,2018-10-28 08:29:41,3708,3708,839
E,2018-10-28 08:30:41,3708,3708,868
E,2018-10-28 08:32:00,3708,3708,905
E,2018-10-28 09:03:45,3711,3711,1804
E,2018-10-28 09:04:12,3715,3715,1817
E,2018-10-28 09:14:56,3715,3715,2121
E,2018-10-28 09:16:29,3715,3715,2165
E,2018-10-28 09:18:02,3711,3711,2208
E,2018-10-28 09:21:04,3715,3715,2294
E,2018-10-28 09:21:04,3715,3715,2294
E,2018-10-28 09:21:20,3711,3711,2302
E,2018-10-28 09:26:43,3711,3711,2454
E,2018-10-28 09:34:17,3711,3711,2669
E,2018-10-28 09:35:35,3715,3715,2705
E,2018-10-28 09:37:21,3711,3711,2756
E,2018-10-28 09:37:38,3711,3711,2764
I,2018-10-28 09:39:04,3715,3715,2804
E,2018-10-28 09:44:00,3715,3715,2944
E,2018-10-28 09:48:12,3711,3711,3063
E,2018-10-28 09:51:12,3711,3711,3148
E,2018-10-28 09:51:21,3711,3711,3152
E,2018-10-28 09:52:17,3711,3711,3178
E,2018-10-28 09:52:52,3711,3711,3195
E,2018-10-28 09:53:02,3715,3715,3200
E,2018-10-28 09:54:42,3715,3715,3247
E,2018-10-28 09:54:51,3715,3715,3251
E,2018-10-28 09:56:49,3711,3711,3307
E,2018-10-28 10:01:52,3711,3711,3450
E,2018-10-28 10:03:56,3711,3711,3508
E,2018-10-28 10:04:42,3715,3715,3530
E,2018-10-28 10:04:48,3711,3711,3533
E,2018-10-28 10:07:12,3715,3715,3601
E,2018-10-28 10:07:57,3711,3711,3622
I,2018-10-28 10:10:31,3715,3715,3695
E,2018-10-28 10:10:40,3711,3711,3699
E,2018-10-28 10:12:58,3715,3715,3764
I,2018-10-28 10:13:09,3715,3715,3769
E,2018-10-28 10:13:29,3715,3715,3779
E,2018-10-28 10:13:31,3711,3711,3780
E,2018-10-28 10:20:03,3715,3715,3965
E,2018-10-28 10:21:05,3715,3715,3994
E,2018-10-28 10:22:23,3715,3715,4031
E,2018-10-28 10:23:41,3715,3715,4068
E,2018-10-28 10:36:02,3711,3711,4417
E,2018-10-28 10:37:02,3715,3715,4446
E,2018-10-28 10:37:13,3715,3715,4451
E,2018-10-28 10:41:18,3715,3715,4567
E,2018-10-28 10:45:41,3715,5141,4691
I,2018-10-28 10:46:14,3715,3715,4706
E,2018-10-28 10:47:11,3711,3711,4733
I,2018-10-28 10:49:15,3715,3715,4792
I,2018-10-28 10:53:30,3715,3715,4912
E,2018-10-28 10:57:04,3715,3715,5013
I,2018-10-28 10:59:19,3715,3715,5077
E,2018-10-28 10:59:20,3715,3715,5077
E,2018-10-28 10:59:30,3708,3708,5082
I,2018-10-28 11:01:37,3715,3715,5142
E,2018-10-28 11:05:03,3715,5141,5239
I,2018-10-28 11:06:42,3715,3715,5286
I,2018-10-28 11:07:08,3715,3715,5298
E,2018-10-28 11:09:07,3715,3715,5354
E,2018-10-28 11:09:40,3715,3715,5370
E,2018-10-28 11:09:43,3715,3715,5371
E,2018-10-28 11:10:06,3715,3715,5382
I,2018-10-28 11:16:23,3715,3715,5560
I,2018-10-28 11:16:43,3715,3715,5570
E,2018-10-28 11:18:28,3715,3715,5619
E,2018-10-28 11:22:27,3711,3711,5732
I,2018-10-28 11:23:10,3715,3715,5752
I,2018-10-28 11:26:22,3715,3715,5843
I,2018-10-28 11:27:34,3715,3715,5877
I,2018-10-28 11:30:44,3715,3715,5966
E,2018-10-28 11:32:22,3708,3708,6013
I,2018-10-28 11:34:15,3715,3715,6066
E,2018-10-28 11:34:48,3723,3723,6082
E,2018-10-28 11:46:43,3723,3723,6419
I,2018-10-28 11:57:39,3715,3715,6729
I,2018-10-28 12:04:50,3715,3715,6932
I,2018-10-28 12:09:10,3715,3715,7055
E,2018-10-28 12:10:47,3715,3715,7101
I,2018-10-28 12:11:07,3715,3715,7110
I,2018-10-28 12:15:40,3715,3715,7239
I,2018-10-28 12:19:10,3715,3715,7338
I,2018-10-28 12:24:51,3715,3715,7499
I,2018-10-28 12:26:53,3715,3715,7557
I,2018-10-28 12:30:45,3715,3715,7666
I,2018-10-28 12:33:28,3715,3715,7743
I,2018-10-28 12:34:31,3715,3715,7773
I,2018-10-28 12:36:44,3715,3715,7836
I,2018-10-28 12:44:22,3715,3715,8052
I,2018-10-28 12:44:23,3715,3715,8052
I,2018-10-28 12:49:55,3715,3715,8209
I,2018-10-28 12:50:51,3715,3715,8235
I,2018-10-28 12:51:19,3715,3715,8249
I,2018-10-28 12:54:17,3715,3715,8333
I,2018-10-28 12:54:50,3715,3715,8348
I,2018-10-28 12:56:03,3715,3715,8383
E,2018-10-28 12:57:21,3708,3708,8419
I,2018-10-28 13:05:08,3715,3715,8640
I,2018-10-28 13:06:15,3715,3715,8671
I,2018-10-28 13:07:39,3715,3715,8711
I,2018-10-28 13:08:56,3715,3715,8747
I,2018-10-28 13:08:56,3715,3715,8747
E,2018-10-28 13:10:41,3708,3708,8797
I,2018-10-28 13:11:25,3715,3715,8818
I,2018-10-28 13:12:37,3715,3715,8852
I,2018-10-28 13:15:03,3715,3715,8921
I,2018-10-28 13:16:45,3715,3715,8969
E,2018-10-28 13:22:18,3708,3708,9126
E,2018-10-28 13:28:16,3708,3708,9295
E,2018-10-28 13:34:19,3708,3708,9466
I,2018-10-28 13:43:12,3715,3715,9718
I,2018-10-28 13:43:46,3715,3715,9734
E,2018-10-28 13:47:30,3708,3708,9840
E,2018-10-28 15:07:30,3715,3507,11737
E,2018-10-28 15:09:01,3715,3507,11780
E,2018-10-28 15:10:04,3715,3507,11809
E,2018-10-28 15:28:02,3708,3708,12318
E,2018-10-28 16:12:25,3708,3708,13575
E,2018-10-28 16:40:57,3711,3711,14383
E,2018-10-28 17:33:36,3708,3708,15874
I,2018-10-29 07:47:53,3725,3725,17573
I,2018-10-29 07:50:37,3725,3725,17651
I,2018-10-29 07:51:40,3725,3725,17680
I,2018-10-29 07:55:26,3708,3708,17787
I,2018-10-29 08:22:09,3703,3708,18544
I,2018-10-29 08:26:04,3703,3708,18655
I,2018-10-29 08:37:19,3725,3725,18973
I,2018-10-29 08:37:58,3709,3708,18992
I,2018-10-29 08:38:18,3725,3725,19001
I,2018-10-29 08:38:34,3711,3711,19009
E,2018-10-29 08:38:50,3708,3708,19016
I,2018-10-29 08:39:01,3708,3708,19021
E,2018-10-29 08:39:24,3711,3711,19032
