I_E_FLAG,END_DATE,DECL_PORT,I_E_PORT,COUNTRY,DELAY,,,
E,2018-10-28 08:00:03,3708,3708,143,0,0,0,
E,2018-10-28 08:14:13,3708,3708,304,534.9276271,7.083333328,534.9276271,
E,2018-10-28 08:22:02,3708,3708,502,830.0818123,3.908333335,295.1541852,
E,2018-10-28 08:26:42,3708,3708,502,1006.293266,2.333333334,176.2114538,
E,2018-10-28 08:29:41,3708,3708,303,1118.942731,1.491666664,112.6494649,
E,2018-10-28 08:30:41,3708,3708,110,1156.702328,0.500000002,37.75959735,
E,2018-10-28 08:32:00,3708,3708,116,1206.419131,0.658333335,49.71680317,
E,2018-10-28 08:33:25,3708,3708,142,1259.911894,0.708333331,53.49276259,
E,2018-10-28 09:03:45,3711,3711,110,2405.286343,15.16666667,1145.374449,
E,2018-10-28 09:04:12,3711,3711,142,2422.278162,0.225,16.99181877,
E,2018-10-28 09:04:12,3715,3715,502,2422.278162,0,0,
E,2018-10-28 09:14:56,3715,3715,304,2827.564506,5.366666669,405.2863438,
E,2018-10-28 09:15:22,3715,3715,142,2843.926998,0.216666665,16.362492,
E,2018-10-28 09:15:45,3715,3715,142,2858.40151,0.19166667,14.47451249,
E,2018-10-28 09:16:29,3715,3715,116,2886.091881,0.366666663,27.69037105,
E,2018-10-28 09:18:02,3711,3711,303,2944.619257,0.775000003,58.52737594,
E,2018-10-28 09:21:04,3715,3715,133,3059.156702,1.516666665,114.5374448,
E,2018-10-28 09:21:04,3715,3715,110,3059.156702,0,0,
E,2018-10-28 09:21:20,3711,3711,136,3069.225928,0.133333333,10.06922591,
E,2018-10-28 09:26:43,3711,3711,110,3272.498427,2.691666667,203.2724985,
E,2018-10-28 09:31:27,3715,3715,142,3451.227187,2.366666665,178.7287601,
E,2018-10-28 09:34:17,3711,3711,116,3558.212712,1.416666668,106.9855256,
E,2018-10-28 09:35:35,3715,3715,136,3607.300189,0.65,49.0874764,
E,2018-10-28 09:37:21,3711,3711,601,3674.008811,0.883333336,66.70862194,
E,2018-10-28 09:37:38,3711,3711,304,3684.707363,0.141666663,10.69855228,
I,2018-10-28 09:39:04,3715,3715,502,3738.829452,0.716666667,54.12208936,
E,2018-10-28 09:44:00,3715,3715,502,3925.110132,2.466666667,186.2806797,
E,2018-10-28 09:48:12,3711,3711,143,4083.700441,2.100000004,158.5903086,
E,2018-10-28 09:51:12,3711,3711,116,4196.979232,1.5,113.2787917,
E,2018-10-28 09:51:21,3711,3711,116,4202.643172,0.074999997,5.663939326,
E,2018-10-28 09:51:21,3715,3715,142,4202.643172,0,0,
E,2018-10-28 09:52:16,3715,3715,142,4237.256136,0.458333336,34.61296431,
E,2018-10-28 09:52:17,3711,3711,501,4237.885463,0.008333335,0.629326768,
E,2018-10-28 09:52:52,3711,3711,116,4259.911894,0.291666662,22.02643133,
E,2018-10-28 09:52:54,3711,3711,142,4261.170547,0.016666671,1.258653535,
E,2018-10-28 09:53:02,3715,3715,502,4266.20516,0.066666667,5.034612954,
E,2018-10-28 09:54:42,3715,3715,110,4329.137823,0.833333334,62.93266212,
E,2018-10-28 09:54:51,3715,3715,110,4334.801762,0.074999997,5.663939326,
E,2018-10-28 09:56:49,3711,3711,132,4409.062303,0.983333333,74.26054117,
E,2018-10-28 10:01:52,3711,3711,429,4599.748269,2.525000004,190.6859663,
E,2018-10-28 10:03:56,3711,3711,143,4677.78477,1.033333334,78.03650099,
E,2018-10-28 10:04:42,3715,3715,143,4706.733794,0.383333329,28.94902419,
E,2018-10-28 10:04:48,3711,3711,307,4710.509754,0.050000001,3.775959815,
E,2018-10-28 10:07:12,3715,3715,301,4801.132788,1.200000003,90.62303357,
E,2018-10-28 10:07:57,3711,3711,143,4829.452486,0.374999999,28.31969782,
I,2018-10-28 10:10:31,3715,3715,141,4926.368785,1.283333335,96.91629966,
E,2018-10-28 10:10:40,3711,3711,116,4932.032725,0.074999997,5.663939326,
E,2018-10-28 10:12:58,3715,3715,122,5018.879798,1.150000002,86.84707376,
I,2018-10-28 10:13:09,3715,3715,110,5025.802391,0.091666667,6.922592861,
E,2018-10-28 10:13:29,3715,3715,309,5038.388924,0.166666669,12.58653258,
E,2018-10-28 10:13:31,3711,3711,311,5039.647577,0.016666665,1.25865314,
E,2018-10-28 10:17:16,3715,3715,142,5181.246066,1.874999998,141.5984895,
I,2018-10-28 10:18:40,3715,3715,142,5234.109503,0.700000001,52.86343622,
E,2018-10-28 10:20:03,3715,3715,309,5286.343612,0.691666666,52.23410945,
E,2018-10-28 10:21:05,3715,3715,110,5325.361863,0.516666667,39.01825049,
E,2018-10-28 10:22:23,3715,3715,601,5374.449339,0.65,49.0874764,
E,2018-10-28 10:23:41,3715,3715,116,5423.536815,0.65,49.0874764,
E,2018-10-28 10:36:02,3711,3711,502,5889.867841,6.174999998,466.3310256,
E,2018-10-28 10:37:02,3715,3715,116,5927.627438,0.500000002,37.75959735,
E,2018-10-28 10:37:13,3715,3715,305,5934.550031,0.091666667,6.922592861,
E,2018-10-28 10:40:17,3715,3715,142,6050.34613,1.533333336,115.7960983,
E,2018-10-28 10:41:18,3715,3715,307,6088.735053,0.508333332,38.38892373,
E,2018-10-28 10:45:41,3715,5141,129,6254.247954,2.191666666,165.5129011,
I,2018-10-28 10:46:14,3715,3715,143,6275.015733,0.275000001,20.76777858,
I,2018-10-28 10:46:42,3715,3715,142,6292.636878,0.23333333,17.62114514,
E,2018-10-28 10:47:11,3711,3711,410,6310.887351,0.241666671,18.25047231,
I,2018-10-28 10:49:15,3715,3715,143,6388.923851,1.033333334,78.03650099,
I,2018-10-28 10:53:30,3715,3715,110,6549.40214,2.124999999,160.4782882,
E,2018-10-28 10:53:47,3715,3715,142,6560.100692,0.141666663,10.69855228,
I,2018-10-28 10:55:43,3715,3715,142,6633.10258,0.966666667,73.00188803,
