year,CTY_CODE,CTYNAME,I_1,I_2,I_3,I_4,I_5,I_6,I_7,I_8,I_9,I_10,I_11,I_12,IYR,E_1,E_2,E_3,E_4,E_5,E_6,E_7,E_8,E_9,E_10,E_11,E_12,EYR
2003,11,北京,42.4192,32.1987,42.3701,45.5785,38.4323,45.0926,48.237,40.1481,53.9916,36.5871,40.379,50.6992,516.1334,12.3698,11.3086,12.9687,14.2175,12.5011,14.7427,14.0628,15.0396,14.9922,13.0355,14.3693,19.2604,168.8682
2004,11,北京,46.9974,56.563,56.783,63.5579,55.7489,65.2691,61.7811,59.4869,67.3431,56.9057,72.6562,76.9724,740.0647,10.4058,13.1075,14.1358,15.4011,15.4345,18.7039,16.8943,18.5885,19.2523,18.4685,22.0606,23.2397,205.6925
2005,11,北京,56.8039,59.0929,80.081,85.9241,75.3271,79.5435,75.624,78.4017,93.4338,81.3179,89.2697,91.5858,946.4054,21.4847,18.6621,25.3089,24.7963,24.4225,27.0413,27.0364,29.4642,26.0787,25.4442,27.4683,31.4515,308.6591
2006,11,北京,90.7985,80.2723,106.7046,99.9197,101.3018,107.1398,101.1779,113.6993,118.6514,89.2164,102.0186,89.9262,1200.8265,24.0751,24.4163,30.8804,27.718,26.518,32.9254,31.8737,34.3586,34.5806,33.0546,40.3264,38.8127,379.5398
2007,11,北京,105.7289,87.5353,109.6995,124.8516,105.9346,113.0675,129.0678,126.9919,127.3268,113.25,143.3061,154.0032,1440.7632,33.1011,32.6924,38.8162,38.6684,40.6923,42.5058,41.6144,42.3065,42.4662,41.3828,47.0712,49.1153,490.4326
2008,11,北京,163.445,155.5499,184.6563,178.9773,200.469,203.6285,214.6733,217.1835,198.5757,176.1785,130.5884,118.0076,2141.933,41.4867,36.6045,46.4674,44.3773,53.4094,50.1096,55.1691,49.7698,53.7177,48.0726,48.7898,47.022,574.9959
2009,11,北京,81.5247,93.8994,116.8338,124.3204,118.7054,142.1497,168.8417,153.7642,165.1904,159.3964,148.3406,190.572,1663.5387,37.8023,34.9396,39.3541,38.6438,34.9295,38.2719,39.8678,39.8749,43.81,40.751,45.4762,50.0721,483.7932
2010,11,北京,174.0653,167.5166,218.2119,226.3528,194.4326,202.3416,202.103,206.3089,220.5369,168.7461,220.0838,262.1826,2462.8821,45.1992,35.2251,44.6622,42.5945,46.165,45.9597,50.8177,48.4185,47.8117,46.4964,50.9276,50.0845,554.3621
2011,11,北京,279.3669,224.9295,281.915,276.1733,277.2789,248.4398,261.1638,288.0299,290.4932,266.6236,304.1659,307.0086,3305.5884,43.7064,32.1722,50.4197,45.6146,45.5458,52.4428,49.6817,54.2156,52.5837,54.4126,53.0425,56.1395,589.9771
2012,11,北京,272.7614,297.6757,317.077,297.379,331.1065,277.7735,270.5799,249.4742,272.8705,267.0525,299.9012,331.1009,3484.7523,42.6481,39.6311,49.3824,46.0291,50.0542,51.9524,50.25,53.8455,55.4165,50.3125,51.3529,55.5337,596.4084
