class,order,from,time,to,attr,group,book,order1
地球,1,0,4560,4560,event,,evo,1
生命起源,2,0,3500,3500,event,,evo,2
多细胞动物,3,0,800,800,event,,evo,3
96%海生70%陆生物种灭绝,4,250,550,800,event,,evo,4
种类爆发、大型动物,5,0,540,540,event,,evo,5
化石腔棘鱼,6,70,310,380,event,,evo,6
恐龙,7,65,135,200,event,,evo,7
灵长类,8,0,30,30,event,,human,8
长臂猿、人亚科分离,10,19.89,0.01,19.9,event,,human,9
喜马拉雅山脉开始抬升,12,18.99,0.01,19,event,,human,10
猿首次在欧洲出现,18,16.39,0.01,16.4,event,,human,11
非洲地理隔绝结束,21,14.99,0.01,15,event,,human,12
全球变冷,27,12.39,0.01,12.4,event,,human,13
人亚科、红毛猩猩分化,29,11.99,0.01,12,event,,human,14
人科在亚洲快速减少,39,7.59,0.01,7.6,event,,human,15
人亚科、大猩猩分化,40,7.09,0.01,7.1,event,,human,16
原始人猿科物种在欧洲灭绝,43,5.94,0.01,5.95,event,,human,17
人族、黑猩猩分化,45,5.69,0.01,5.7,event,,human,18
全球进一步变冷,46,5.09,0.01,5.1,event,,human,19
渡渡鸟,47,0.0003,5,5.0003,event,,evo,20
双足直立行走人类出现,48,4.59,0.01,4.6,event,,human,21
南北美连接,50,3.89,0.01,3.9,event,,human,22
最早人属物种,54,2.79,0.01,2.8,event,,human,23
奥杜威文化,55,1.7,1,2.7,event,,human,24
最古老工具出现,56,2.64,0.01,2.65,event,,human,25
青藏高原抬升,58,2.59,0.01,2.6,event,,human,26
旧石器时代,59,0.01,2.49,2.5,event,,human,27
第一次离开非洲,66,1.94,0.01,1.95,event,,human,28
阿舍利工具,68,0.21,1.49,1.7,event,,human,29
第一个手斧,69,1.68,0.01,1.69,event,,human,30
第一次使用火,72,0.8,0.01,0.81,event,,human,31
莫斯特文化（中石器时代）,76,0.04,0.17,0.21,event,,human,32
现代人（晚期智人）,77,0,0.15,0.15,event,,evo,33
墓葬,78,0.09,0.01,0.1,event,,human,34
智人出现在澳大利亚,80,0,0.075,0.075,event,,human,35
人类艺术出现,81,0,0.075,0.075,event,,human,36
驯化狗,83,0,0.014,0.014,event,,evo,37
农耕、驯化羊牛猪,84,0,0.01,0.01,event,,evo,38
原康修尔猿,9,14.1,5.9,20,evolution,1,human,39
让瓦古猿,11,18.3,1.2,19.5,evolution,2,human,40
莫罗托古猿,13,17.5,1.1,18.6,evolution,3,human,41
非洲古猿,14,16.9,1.15,18.05,evolution,4,human,42
尼安萨猿,15,13.5,4.3,17.8,evolution,5,human,43
纳乔拉古猿,16,16.2,1.2,17.4,evolution,6,human,44
日猿,17,15.5,1.2,16.7,evolution,4,human,45
土耳其古猿,19,15.8,0.6,16.4,evolution,7,human,46
肯尼亚古猿土耳其种,20,15.8,0.6,16.4,evolution,8,human,47
上猿,22,10.6,4.4,15,evolution,9,human,48
东道古猿,23,14.25,0.65,14.9,evolution,3,human,49
肯尼亚古猿,24,13.4,0.6,14,evolution,10,human,50
奥塔维古猿,25,12.95,0.65,13.6,evolution,4,human,51
皮尔劳尔猿,26,12.5,0.51,13.01,evolution,7,human,52
西瓦古猿,28,10.7,1.4,12.1,evolution,11,human,53
森林古猿,30,9.95,2.05,12,evolution,,human,54
脉络猿属,31,10.25,0.85,11.1,evolution,1,human,55
安卡拉古猿,32,9.5,0.4,9.9,evolution,11,human,56
桑布鲁古猿,33,9.5,0.25,9.75,evolution,4,human,57
仲山纳卡里猿,34,8.85,0.75,9.6,evolution,6,human,58
希腊古猿,35,9.05,0.55,9.6,evolution,7,human,59
山猿,36,8.4,0.5,8.9,evolution,8,human,60
禄丰古猿,37,8.2,0.7,8.9,evolution,,human,61
巨猿,38,6.1,1.7,7.8,evolution,9,human,62
乍得沙赫人,41,5.95,1.05,7,evolution,5,human,63
图根原人,42,5.9,0.1,6,evolution,4,human,64
地猿始祖种,44,4.4,1.4,5.8,evolution,6,human,65
南方古猿湖畔种,49,4.05,0.55,4.6,evolution,3,human,66
南方古猿阿法种,51,3.01,0.89,3.9,evolution,3,human,67
肯尼亚平脸人,52,3.3,0.2,3.5,evolution,7,human,68
南方古猿非洲种,53,2.05,0.9,2.95,evolution,1,human,69
傍人埃塞俄比亚种,57,2.55,0.1,2.65,evolution,6,human,70
南方古猿惊奇种,60,2.35,0.1,2.45,evolution,10,human,71
鲁道夫人,61,1.45,0.95,2.4,evolution,7,human,72
傍人鲍氏种,62,1.01,1.39,2.4,evolution,5,human,73
能人,63,1.55,0.75,2.3,evolution,8,human,74
傍人罗百氏种,64,1.4,0.6,2,evolution,2,human,75
南方古猿源泉种,65,1.85,0.15,2,evolution,1,human,76
直立人,67,0.1,1.85,1.95,evolution,3,human,77
先驱人,70,0.7,0.6,1.3,evolution,12,human,78
晚期巨猿,71,0.4,0.65,1.05,evolution,9,human,79
海德堡人,73,0.2,0.51,0.71,evolution,1,human,80
尼安德特人,74,0.025,0.365,0.39,evolution,12,human,81
智人,75,0,0.39,0.39,evolution,6,human,82
弗洛雷斯人,79,0.02,0.07,0.09,evolution,,human,83
丹尼索瓦种,82,0.03,0.01,0.04,evolution,,human,84
