source,target,ie,ym,value_f,value_p,country_code,country,level,flow
106(缅甸),BKK(曼谷),I,3月20日,1,6,106,缅甸,0,1
106(缅甸),HKG(香港),I,3月20日,1,1,106,缅甸,0,1
107(柬埔寨),PNH(金边),I,3月20日,20,1108,107,柬埔寨,1,1
107(柬埔寨),KOS(西哈努克),I,3月20日,7,239,107,柬埔寨,1,1
110(中国香港),HKG(香港),I,3月20日,14,1200,110,中国香港,0,1
110(中国香港),BKK(曼谷),I,3月20日,1,3,110,中国香港,0,1
111(印度),KUL(吉隆坡),I,3月20日,7,21,111,印度,1,1
111(印度),HKG(香港),I,3月20日,6,13,111,印度,1,1
111(印度),SIN(新加坡),I,3月20日,1,1,111,印度,1,1
112(印度尼西亚),HKG(香港),I,3月20日,12,318,112,印度尼西亚,1,1
112(印度尼西亚),KUL(吉隆坡),I,3月20日,3,24,112,印度尼西亚,1,1
112(印度尼西亚),SIN(新加坡),I,3月20日,4,5,112,印度尼西亚,1,1
112(印度尼西亚),BKK(曼谷),I,3月20日,1,2,112,印度尼西亚,1,1
116(日本),NRT(东京(成田)),I,3月20日,14,359,116,日本,2,1
116(日本),HKG(香港),I,3月20日,4,7,116,日本,2,1
121(中国澳门),MFM(澳门),I,3月20日,14,399,121,中国澳门,0,1
122(马来西亚),KUL(吉隆坡),I,3月20日,24,2515,122,马来西亚,2,1
122(马来西亚),HKG(香港),I,3月20日,6,6,122,马来西亚,2,1
122(马来西亚),SIN(新加坡),I,3月20日,2,6,122,马来西亚,2,1
122(马来西亚),BKK(曼谷),I,3月20日,4,5,122,马来西亚,2,1
125(尼泊尔联邦民主共和国),HKG(香港),I,3月20日,1,3,125,尼泊尔联邦民主共和国,0,1
129(菲律宾),MNL(马尼拉),I,3月20日,28,5480,129,菲律宾,2,1
129(菲律宾),HKG(香港),I,3月20日,13,331,129,菲律宾,2,1
129(菲律宾),BKK(曼谷),I,3月20日,5,56,129,菲律宾,2,1
129(菲律宾),KUL(吉隆坡),I,3月20日,1,7,129,菲律宾,2,1
129(菲律宾),TPE(台北),I,3月20日,2,5,129,菲律宾,2,1
129(菲律宾),SIN(新加坡),I,3月20日,1,2,129,菲律宾,2,1
130(卡塔尔),SIN(新加坡),I,3月20日,9,29,130,卡塔尔,2,1
130(卡塔尔),HKG(香港),I,3月20日,3,3,130,卡塔尔,2,1
132(新加坡),SIN(新加坡),I,3月20日,17,953,132,新加坡,1,1
132(新加坡),HKG(香港),I,3月20日,1,1,132,新加坡,1,1
132(新加坡),KUL(吉隆坡),I,3月20日,1,1,132,新加坡,1,1
133(韩国),ICN(仁川),I,3月20日,4,215,133,韩国,2,1
134(斯里兰卡),HKG(香港),I,3月20日,4,14,134,斯里兰卡,0,1
134(斯里兰卡),KUL(吉隆坡),I,3月20日,1,2,134,斯里兰卡,0,1
136(泰国),BKK(曼谷),I,3月20日,21,1950,136,泰国,1,1
136(泰国),MFM(澳门),I,3月20日,4,8,136,泰国,1,1
136(泰国),HKG(香港),I,3月20日,2,4,136,泰国,1,1
136(泰国),KUL(吉隆坡),I,3月20日,1,1,136,泰国,1,1
137(土耳其),HKG(香港),I,3月20日,6,15,137,土耳其,1,1
138(阿联酋),HKG(香港),I,3月20日,10,94,138,阿联酋,0,1
138(阿联酋),BKK(曼谷),I,3月20日,1,2,138,阿联酋,0,1
141(越南),HKG(香港),I,3月20日,9,50,141,越南,0,1
141(越南),BKK(曼谷),I,3月20日,3,4,141,越南,0,1
141(越南),MFM(澳门),I,3月20日,2,2,141,越南,0,1
141(越南),TPE(台北),I,3月20日,1,1,141,越南,0,1
142(中国台湾),TPE(台北),I,3月20日,26,2873,142,中国,0,1
142(中国台湾),TSA(台北),I,3月20日,27,2225,142,中国,0,1
142(中国台湾),KHH(高雄),I,3月20日,4,499,142,中国,0,1
142(中国台湾),MFM(澳门),I,3月20日,6,29,142,中国,0,1
145(哈萨克斯坦),HKG(香港),I,3月20日,1,1,145,哈萨克斯坦,0,1
204(博茨瓦纳),HKG(香港),I,3月20日,3,6,204,博茨瓦纳,0,1
215(埃及),HKG(香港),I,3月20日,1,1,215,埃及,1,1
217(埃塞俄比亚),HKG(香港),I,3月20日,6,7,217,埃塞俄比亚,0,1
232(摩洛哥),HKG(香港),I,3月20日,1,1,232,摩洛哥,0,1
233(莫桑比克),HKG(香港),I,3月20日,3,3,233,莫桑比克,0,1
234(纳米比亚),HKG(香港),I,3月20日,2,2,234,纳米比亚,0,1
244(南非),HKG(香港),I,3月20日,4,108,244,南非,0,1
244(南非),SIN(新加坡),I,3月20日,1,1,244,南非,0,1
253(赞比亚),HKG(香港),I,3月20日,2,7,253,赞比亚,0,1
301(比利时),HKG(香港),I,3月20日,1,2,301,比利时,2,1
301(比利时),AMS(阿姆斯特丹),I,3月20日,1,1,301,比利时,2,1
302(丹麦),AMS(阿姆斯特丹),I,3月20日,1,1,302,丹麦,2,1
303(英国),AMS(阿姆斯特丹),I,3月20日,7,560,303,英国,2,1
303(英国),HKG(香港),I,3月20日,9,219,303,英国,2,1
303(英国),KUL(吉隆坡),I,3月20日,2,25,303,英国,2,1
303(英国),SIN(新加坡),I,3月20日,4,16,303,英国,2,1
303(英国),TPE(台北),I,3月20日,3,4,303,英国,2,1
303(英国),BKK(曼谷),I,3月20日,1,2,303,英国,2,1
304(德国),AMS(阿姆斯特丹),I,3月20日,7,52,304,德国,2,1
304(德国),HKG(香港),I,3月20日,8,42,304,德国,2,1
304(德国),TPE(台北),I,3月20日,3,15,304,德国,2,1
304(德国),BKK(曼谷),I,3月20日,2,2,304,德国,2,1
305(法国),AMS(阿姆斯特丹),I,3月20日,7,23,305,法国,2,1
305(法国),HKG(香港),I,3月20日,3,7,305,法国,2,1
305(法国),TPE(台北),I,3月20日,2,3,305,法国,2,1
305(法国),BKK(曼谷),I,3月20日,1,1,305,法国,2,1
306(爱尔兰),AMS(阿姆斯特丹),I,3月20日,7,33,306,爱尔兰,1,1
306(爱尔兰),HKG(香港),I,3月20日,2,6,306,爱尔兰,1,1
307(意大利),AMS(阿姆斯特丹),I,3月20日,5,67,307,意大利,2,1
307(意大利),HKG(香港),I,3月20日,2,8,307,意大利,2,1
308(卢森堡),AMS(阿姆斯特丹),I,3月20日,2,3,308,卢森堡,1,1
309(荷兰),AMS(阿姆斯特丹),I,3月20日,7,243,309,荷兰,2,1
309(荷兰),HKG(香港),I,3月20日,7,20,309,荷兰,2,1
309(荷兰),BKK(曼谷),I,3月20日,4,9,309,荷兰,2,1
309(荷兰),TPE(台北),I,3月20日,3,4,309,荷兰,2,1
309(荷兰),NRT(东京(成田)),I,3月20日,1,1,309,荷兰,2,1
