hs2_code,hs2_name,hs4_code,hs4_name,hs8_count,i,e,ie
1 ,第1章   活动物,101,马、驴、骡,5,99386178,76795,99462973
1 ,第1章   活动物,102,牛,6,3764935260,232566006,3997501266
1 ,第1章   活动物,103,猪,4,75302832,1851314122,1926616954
1 ,第1章   活动物,104,绵羊、山羊,4,20758190,737368,21495558
1 ,第1章   活动物,105,家禽，即鸡、鸭、鹅、火鸡及珍珠鸡,17,108684928,7379681,116064609
1 ,第1章   活动物,106,其他活动物,34,143299723,152731049,296030772
2 ,第2章   肉及食用杂碎,201,鲜、冷牛肉,3,3377000077,0,3377000077
2 ,第2章   肉及食用杂碎,202,冻牛肉,3,82397488618,3098912,82400587530
2 ,第2章   肉及食用杂碎,203,鲜、冷、冻猪肉,8,16462238530,737980550,17200219080
2 ,第2章   肉及食用杂碎,204,鲜、冷、冻绵羊肉或山羊肉,9,10649734571,74510733,10724245304
2 ,第2章   肉及食用杂碎,205,鲜、冷、冻马、驴、骡肉,1,13693748,20782450,34476198
2 ,第2章   肉及食用杂碎,206,鲜、冷、冻牛、猪、绵羊、山羊、马、驴、骡的食用杂碎,9,13980982352,4326304,13985308656
2 ,第2章   肉及食用杂碎,207,品目0105所列家禽的鲜、冷、冻肉及食用杂碎,26,20285977299,3640119888,23926097187
2 ,第2章   肉及食用杂碎,208,其他鲜、冷、冻肉及食用杂碎,9,95643770,212854259,308498029
2 ,第2章   肉及食用杂碎,209,未炼制或用其他方法提取的不带瘦肉的肥猪肉、猪脂肪及家禽脂肪，鲜、冷、冻、干、熏、盐腌或盐渍的,2,64307110,0,64307110
2 ,第2章   肉及食用杂碎,210,肉及食用杂碎，干、熏、盐腌或盐渍的；可供食用的肉或杂碎的细粉、粗粉,9,216856673,20434231,237290904
3 ,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,301,活鱼,20,1410734022,4042073725,5452807747
3 ,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,302,鲜、冷鱼，但品目03.04的鱼片及其他鱼肉除外,52,4347400306,1305062332,5652462638
3 ,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,303,冻鱼，但品目03.04的鱼片及其他鱼肉除外,51,22695382363,10896134244,33591516607
3 ,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,304,鲜、冷、冻鱼片及其他鱼肉（不论是否绞碎）,50,3834301229,18759405745,22593706974
3 ,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,305,干、盐腌或盐渍的鱼； 熏鱼，不论在熏制前或熏制过程中是否烹煮,28,1147176669,1925435891,3072612560
3 ,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,306,活、鲜、冷、冻、干、盐腌、盐渍、熏制的带壳或去壳甲壳动物；蒸过或用水煮过的带壳甲壳动物,38,44666500438,3434643571,48101144009
3 ,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,307,活、鲜、冷、冻、干、盐腌、盐渍、熏制的带壳或去壳软体动物,44,8790301280,17154292812,25944594092
3 ,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,308,不属于甲壳动物及软体动物的水生无脊椎动物，活、鲜、冷、冻、干、盐腌或盐渍、熏制的,15,434385795,342475006,776860801
3 ,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,309,适合供人食用的鱼、甲壳动物、软体动物和其他水生无脊椎动物的细粉、粗粉及团粒,2,10113903,95030078,105143981
4 ,第4章   乳品；蛋品；天然蜂蜜；其他食用动物产品,401,未浓缩及未加糖或其他甜物质的乳及稀奶油,4,7809202152,111745477,7920947629
4 ,第4章   乳品；蛋品；天然蜂蜜；其他食用动物产品,402,浓缩、加糖或其他甜物质的乳及稀奶油,5,24082477051,125012483,24207489534
4 ,第4章   乳品；蛋品；天然蜂蜜；其他食用动物产品,403,酸乳；酪乳、结块的乳及稀奶油、酸乳酒及其他发酵或酸化的乳和稀奶油，不论是否浓缩、加糖、加其他甜物质、加香料、加水果、加坚果或加可可,3,246583506,66044996,312628502
4 ,第4章   乳品；蛋品；天然蜂蜜；其他食用动物产品,404,乳清，不论是否浓缩、加糖或其他甜物质；其他品目未列名的含天然乳的产品，不论是否加糖或其他甜物质,2,4604464913,4828491,4609293404
