hs8_code,hs8_name,hs8i,hs8e,hs2_code,hs2_name,hs2i,hs2e,hs4_code,hs4_name,hs4i,hs4e,hs6_code,hs6_name,hs6i,hs6e
1012100,改良种用马,0,0.00076795,1,第1章   活动物,42.12367111,22.44805021,101,马、驴、骡,0.99386178,0.00076795,10121,改良种用马,0,0.00076795
1012900,其他马，改良种用除外,0.99386178,0,1,第1章   活动物,42.12367111,22.44805021,101,马、驴、骡,0.99386178,0.00076795,10129,其他马，改良种用除外,0.99386178,0
1013010,改良种用驴,0,0,1,第1章   活动物,42.12367111,22.44805021,101,马、驴、骡,0.99386178,0.00076795,10130,驴,0,0
1013090,其他驴，改良种用除外,0,0,1,第1章   活动物,42.12367111,22.44805021,101,马、驴、骡,0.99386178,0.00076795,10130,驴,0,0
1019000,骡,0,0,1,第1章   活动物,42.12367111,22.44805021,101,马、驴、骡,0.99386178,0.00076795,10190,骡,0,0
1022100,改良种用家牛,13.31453047,0,1,第1章   活动物,42.12367111,22.44805021,102,牛,37.6493526,2.32566006,10221,改良种用家牛,13.31453047,0
1022900,其他家牛，改良种用除外,24.33482213,0,1,第1章   活动物,42.12367111,22.44805021,102,牛,37.6493526,2.32566006,10229,其他家牛，改良种用除外,24.33482213,0
1023100,改良种用水牛,0,0,1,第1章   活动物,42.12367111,22.44805021,102,牛,37.6493526,2.32566006,10231,改良种用水牛,0,0
1023900,其他水牛，改良种用除外,0,0,1,第1章   活动物,42.12367111,22.44805021,102,牛,37.6493526,2.32566006,10239,其他水牛，改良种用除外,0,0
1029010,改良种用其他牛,0,0,1,第1章   活动物,42.12367111,22.44805021,102,牛,37.6493526,2.32566006,10290,其他牛,0,2.32566006
1029090,其他牛，改良种用除外,0,2.32566006,1,第1章   活动物,42.12367111,22.44805021,102,牛,37.6493526,2.32566006,10290,其他牛,0,2.32566006
1031000,改良种用猪,0.7372952,0,1,第1章   活动物,42.12367111,22.44805021,103,猪,0.75302832,18.51314122,10310,改良种用猪,0.7372952,0
1039110,其他猪，重量＜10kg，改良种用除外,0.00357987,0,1,第1章   活动物,42.12367111,22.44805021,103,猪,0.75302832,18.51314122,10391,其他猪，重量＜50kg,0.00357987,0.00739187
1039120,其他猪，10kg≤重量＜50kg，改良种用除外,0,0.00739187,1,第1章   活动物,42.12367111,22.44805021,103,猪,0.75302832,18.51314122,10391,其他猪，重量＜50kg,0.00357987,0.00739187
1039200,其他猪，重量≥50kg，改良种用除外,0.01215325,18.50574935,1,第1章   活动物,42.12367111,22.44805021,103,猪,0.75302832,18.51314122,10392,其他猪，重量≥50kg,0.01215325,18.50574935
1041010,改良种用绵羊,0,0,1,第1章   活动物,42.12367111,22.44805021,104,绵羊、山羊,0.2075819,0.00737368,10410,绵羊,0.00217586,0
1041090,其他绵羊，改良种用除外,0.00217586,0,1,第1章   活动物,42.12367111,22.44805021,104,绵羊、山羊,0.2075819,0.00737368,10410,绵羊,0.00217586,0
1042010,改良种用山羊,0.06855699,0,1,第1章   活动物,42.12367111,22.44805021,104,绵羊、山羊,0.2075819,0.00737368,10420,山羊,0.20540604,0.00737368
1042090,其他山羊，改良种用除外,0.13684905,0.00737368,1,第1章   活动物,42.12367111,22.44805021,104,绵羊、山羊,0.2075819,0.00737368,10420,山羊,0.20540604,0.00737368
1051110,改良种用鸡，改良种用除外，重量≤185g,1.08684928,0,1,第1章   活动物,42.12367111,22.44805021,105,家禽，即鸡、鸭、鹅、火鸡及珍珠鸡,1.08684928,0.07379681,10511,鸡，重量≤185g,1.08684928,0.07379681
1051190,其他鸡，改良种用除外，重量≤185g,0,0.07379681,1,第1章   活动物,42.12367111,22.44805021,105,家禽，即鸡、鸭、鹅、火鸡及珍珠鸡,1.08684928,0.07379681,10511,鸡，重量≤185g,1.08684928,0.07379681
1051210,改良种用火鸡，重量≤185g,0,0,1,第1章   活动物,42.12367111,22.44805021,105,家禽，即鸡、鸭、鹅、火鸡及珍珠鸡,1.08684928,0.07379681,10512,火鸡,0,0
1051290,其他火鸡，改良种用除外，重量≤185g,0,0,1,第1章   活动物,42.12367111,22.44805021,105,家禽，即鸡、鸭、鹅、火鸡及珍珠鸡,1.08684928,0.07379681,10512,火鸡,0,0
1051310,"改良种用鸭,重量≤185克",0,0,1,第1章   活动物,42.12367111,22.44805021,105,家禽，即鸡、鸭、鹅、火鸡及珍珠鸡,1.08684928,0.07379681,10513,鸭,0,0
1051390,"其他鸭,改良种用除外,重量≤185克",0,0,1,第1章   活动物,42.12367111,22.44805021,105,家禽，即鸡、鸭、鹅、火鸡及珍珠鸡,1.08684928,0.07379681,10513,鸭,0,0
