ISO_N3,country_name,province_code,province_name,e,i,ie
004,阿富汗,11,北京市,34476300 ,383563 ,34859863 
004,阿富汗,12,天津市,17569340 ,14083203 ,31652543 
004,阿富汗,13,河北省,48597823 ,0 ,48597823 
004,阿富汗,14,山西省,16799 ,0 ,16799 
004,阿富汗,15,内蒙古自治区,6304057 ,0 ,6304057 
004,阿富汗,21,辽宁省,1479990 ,330344 ,1810334 
004,阿富汗,22,吉林省,0 ,625842 ,625842 
004,阿富汗,23,黑龙江省,1194011 ,957242 ,2151253 
004,阿富汗,31,上海市,9294143 ,4477027 ,13771170 
004,阿富汗,32,江苏省,254390725 ,1172981 ,255563706 
004,阿富汗,33,浙江省,926072685 ,24510258 ,950582943 
004,阿富汗,34,安徽省,22227078 ,0 ,22227078 
004,阿富汗,35,福建省,35789979 ,72399 ,35862378 
004,阿富汗,36,江西省,20477627 ,179687 ,20657314 
004,阿富汗,37,山东省,494505483 ,11331681 ,505837164 
004,阿富汗,41,河南省,13387385 ,10005 ,13397390 
004,阿富汗,42,湖北省,26491756 ,4687 ,26496443 
004,阿富汗,43,湖南省,58407811 ,0 ,58407811 
004,阿富汗,44,广东省,398320495 ,7721209 ,406041704 
004,阿富汗,45,广西壮族自治区,63756445 ,0 ,63756445 
004,阿富汗,50,重庆市,15261805 ,0 ,15261805 
004,阿富汗,51,四川省,13934382 ,47542 ,13981924 
004,阿富汗,52,贵州省,469 ,0 ,469 
004,阿富汗,53,云南省,628946 ,0 ,628946 
004,阿富汗,54,西藏自治区,548 ,0 ,548 
004,阿富汗,61,陕西省,24018737 ,222 ,24018959 
004,阿富汗,62,甘肃省,1558193 ,0 ,1558193 
004,阿富汗,65,新疆维吾尔自治区,28838727 ,0 ,28838727 
008,阿尔巴尼亚,11,北京市,29069588 ,127977006 ,157046594 
008,阿尔巴尼亚,12,天津市,20307861 ,11182050 ,31489911 
008,阿尔巴尼亚,13,河北省,56971066 ,74055031 ,131026097 
008,阿尔巴尼亚,14,山西省,1812080 ,14435643 ,16247723 
008,阿尔巴尼亚,15,内蒙古自治区,1257186 ,0 ,1257186 
008,阿尔巴尼亚,21,辽宁省,6856825 ,17048826 ,23905651 
008,阿尔巴尼亚,22,吉林省,6993760 ,0 ,6993760 
008,阿尔巴尼亚,23,黑龙江省,2728489 ,98160 ,2826649 
008,阿尔巴尼亚,31,上海市,73288550 ,106543423 ,179831973 
008,阿尔巴尼亚,32,江苏省,315916887 ,61184007 ,377100894 
008,阿尔巴尼亚,33,浙江省,1303030873 ,121830884 ,1424861757 
008,阿尔巴尼亚,34,安徽省,40684262 ,5529073 ,46213335 
008,阿尔巴尼亚,35,福建省,105148492 ,421574017 ,526722509 
008,阿尔巴尼亚,36,江西省,64019881 ,0 ,64019881 
008,阿尔巴尼亚,37,山东省,298408750 ,17305962 ,315714712 
008,阿尔巴尼亚,41,河南省,38551945 ,279358 ,38831303 
008,阿尔巴尼亚,42,湖北省,21862228 ,128568 ,21990796 
008,阿尔巴尼亚,43,湖南省,78723207 ,7278008 ,86001215 
008,阿尔巴尼亚,44,广东省,537976937 ,52760472 ,590737409 
008,阿尔巴尼亚,45,广西壮族自治区,7282403 ,637 ,7283040 
008,阿尔巴尼亚,46,海南省,25832440 ,3097736 ,28930176 
008,阿尔巴尼亚,50,重庆市,44083004 ,3795767 ,47878771 
008,阿尔巴尼亚,51,四川省,24376291 ,15909427 ,40285718 
008,阿尔巴尼亚,52,贵州省,7933726 ,0 ,7933726 
008,阿尔巴尼亚,53,云南省,19081217 ,112755 ,19193972 
008,阿尔巴尼亚,61,陕西省,3672979 ,3100209 ,6773188 
008,阿尔巴尼亚,62,甘肃省,2902290 ,28648136 ,31550426 
008,阿尔巴尼亚,64,宁夏回族自治区,1074338 ,0 ,1074338 
008,阿尔巴尼亚,65,新疆维吾尔自治区,924658 ,13986907 ,14911565 
012,阿尔及利亚,11,北京市,1110777822 ,3330262034 ,4441039856 
012,阿尔及利亚,12,天津市,269307743 ,2475445 ,271783188 
012,阿尔及利亚,13,河北省,533930157 ,2474066 ,536404223 
012,阿尔及利亚,14,山西省,45239302 ,0 ,45239302 
012,阿尔及利亚,15,内蒙古自治区,83194160 ,0 ,83194160 
012,阿尔及利亚,21,辽宁省,254589747 ,1353 ,254591100 
012,阿尔及利亚,22,吉林省,18877210 ,0 ,18877210 
012,阿尔及利亚,23,黑龙江省,26312076 ,0 ,26312076 
012,阿尔及利亚,31,上海市,913420258 ,3615335 ,917035593 
012,阿尔及利亚,32,江苏省,2636977880 ,152297856 ,2789275736 
012,阿尔及利亚,33,浙江省,9265639516 ,447163500 ,9712803016 
012,阿尔及利亚,34,安徽省,568440179 ,4896 ,568445075 
012,阿尔及利亚,35,福建省,1688858744 ,294915960 ,1983774704 
012,阿尔及利亚,36,江西省,431254834 ,5174701 ,436429535 
012,阿尔及利亚,37,山东省,3039275881 ,1487209141 ,4526485022 
012,阿尔及利亚,41,河南省,257111756 ,199800 ,257311556 
012,阿尔及利亚,42,湖北省,477165731 ,6085 ,477171816 
012,阿尔及利亚,43,湖南省,1186650192 ,839 ,1186651031 
012,阿尔及利亚,44,广东省,5013420888 ,2562055 ,5015982943 
012,阿尔及利亚,45,广西壮族自治区,79976076 ,400 ,79976476 
012,阿尔及利亚,46,海南省,282351793 ,699 ,282352492 
012,阿尔及利亚,50,重庆市,164700278 ,0 ,164700278 
012,阿尔及利亚,51,四川省,479550612 ,14015 ,479564627 
012,阿尔及利亚,52,贵州省,30789109 ,3251 ,30792360 
012,阿尔及利亚,53,云南省,104388235 ,0 ,104388235 
012,阿尔及利亚,61,陕西省,31690879 ,7822 ,31698701 
012,阿尔及利亚,62,甘肃省,5358986 ,0 ,5358986 
012,阿尔及利亚,63,青海省,10522644 ,172 ,10522816 
