hs_code,province_code,province_name,e,i,ie
0,11,北京市,418847605346 ,2232727931528 ,2651575536874 
0,12,天津市,290433184618 ,334502984903 ,624936169521 
0,13,河北省,248678324990 ,159134701153 ,407813026143 
0,14,山西省,91326357400 ,48305771809 ,139632129209 
0,15,内蒙古自治区,44485400146 ,62862891676 ,107348291822 
0,21,辽宁省,274217637009 ,324455867175 ,598673504184 
0,22,吉林省,36579718793 ,78730959052 ,115310677845 
0,23,黑龙江省,36355008739 ,153791949032 ,190146957771 
0,31,上海市,1251392318096 ,1838530649082 ,3089922967178 
0,32,江苏省,2609695252610 ,1498548015128 ,4108243267738 
0,33,浙江省,2599907957493 ,924646234639 ,3524554192132 
0,34,安徽省,350003702975 ,216288903185 ,566292606160 
0,35,福建省,903087348983 ,580182661030 ,1483270010013 
0,36,江西省,387072365036 ,116175582935 ,503247947971 
0,37,山东省,1479343819160 ,963260501443 ,2442604320603 
0,41,河南省,384265851164 ,236547932981 ,620813784145 
0,42,湖北省,317929448541 ,151161782196 ,469091230737 
0,43,湖南省,371106080109 ,133996898247 ,505102978356 
0,44,广东省,3886981909750 ,2215387351199 ,6102369260949 
0,45,广西壮族自治区,229155007553 ,206238117272 ,435393124825 
0,46,海南省,47633045992 ,95966430701 ,143599476693 
0,50,重庆市,407455627991 ,218499087831 ,625954715822 
0,51,四川省,443829831008 ,291128821783 ,734958652791 
0,52,贵州省,33903752597 ,18773118358 ,52676870955 
0,53,云南省,131379865979 ,129529246870 ,260909112849 
0,54,西藏自治区,3176523610 ,206176020 ,3382699630 
0,61,陕西省,224049629164 ,136592003164 ,360641632328 
0,62,甘肃省,9396538379 ,36937183583 ,46333721962 
0,63,青海省,1978344253 ,1155981459 ,3134325712 
0,64,宁夏回族自治区,15639020815 ,4312760013 ,19951780828 
0,65,新疆维吾尔自治区,144050762248 ,28259209959 ,172309972207 
101,11,北京市,0 ,64782402 ,64782402 
101,12,天津市,0 ,308082 ,308082 
101,13,河北省,0 ,497260 ,497260 
101,15,内蒙古自治区,76795 ,0 ,76795 
101,21,辽宁省,0 ,670607 ,670607 
101,31,上海市,0 ,20232723 ,20232723 
101,44,广东省,0 ,12895104 ,12895104 
102,11,北京市,39333200 ,1677038871 ,1716372071 
102,12,天津市,0 ,918935793 ,918935793 
102,13,河北省,8963582 ,92134200 ,101097782 
102,15,内蒙古自治区,38335567 ,0 ,38335567 
102,32,江苏省,35755500 ,0 ,35755500 
102,34,安徽省,24014169 ,0 ,24014169 
102,37,山东省,0 ,278942368 ,278942368 
102,42,湖北省,16225000 ,0 ,16225000 
102,44,广东省,28299989 ,137858250 ,166158239 
102,45,广西壮族自治区,0 ,486739088 ,486739088 
102,52,贵州省,9305999 ,97497600 ,106803599 
102,61,陕西省,4771500 ,0 ,4771500 
102,62,甘肃省,26661500 ,0 ,26661500 
102,64,宁夏回族自治区,900000 ,75789090 ,76689090 
103,11,北京市,0 ,74944845 ,74944845 
103,31,上海市,0 ,357987 ,357987 
103,33,浙江省,309668655 ,0 ,309668655 
103,36,江西省,296764661 ,0 ,296764661 
103,41,河南省,107795670 ,0 ,107795670 
103,42,湖北省,97092056 ,0 ,97092056 
103,43,湖南省,95505404 ,0 ,95505404 
103,44,广东省,897785718 ,0 ,897785718 
103,45,广西壮族自治区,46217254 ,0 ,46217254 
103,46,海南省,484704 ,0 ,484704 
104,11,北京市,0 ,20758190 ,20758190 
104,44,广东省,737368 ,0 ,737368 
105,11,北京市,0 ,108684928 ,108684928 
105,44,广东省,7379681 ,0 ,7379681 
