cus,cus_code,mon,mon_axis,influence,contribution,mount_i,total_time_i,total_time_change_i,mount_e,total_time_e,total_time_change_e,spend_time_i_1,spend_time_i_0,spend_time_e_1,spend_time_e_0,rate24_i_1,rate24_i_0,rate24_e_1,rate24_e_0,w_rate_ie,w_rate_i,w_rate_e,check_rate_ie,check_rate_i,check_rate_e,catch_rate_ie,catch_rate_i,catch_rate_e, bill_num_ie, bill_num_i, bill_num_e, bill_rate_ie, bill_rate_i, bill_rate_e,kqy_num_ie,kqy_num_i,kqy_num_e,kqy_rate_ie,kqy_rate_i,kqy_rate_e,kgq_num_ie,kgq_num_i,kgq_num_e,kgq_rate_ie,kgq_rate_i,kgq_rate_e
全国,142,201401,1401,100.00 ,100.00 ,1242321,43667583.15,0,3678816,12471186.24,0,35.15,40.77,3.39,15.83,69.58,68.26,96.61,85.11,70.53,51.62,78.38,4.57,6.4,3.89,17.43,21.4,14.97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
全国,142,201402,1402,100.00 ,100.00 ,979590,33737079.6,-9930503.55,1887635,7814808.9,-4656377.34,34.44,35.75,4.14,16.36,71.48,71.7,95.36,86.04,69.14,55.33,77.52,4.46,6.24,3.48,17.76,21.55,14.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
全国,142,201403,1403,100.00 ,100.00 ,1330606,44029752.54,10292672.94,3177939,9946949.07,2132140.17,33.09,39.57,3.13,16.07,71.72,67.66,97,85.04,72.59,58.95,79.49,5.28,6.48,4.73,17.86,22.53,14.92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
全国,142,201404,1404,100.00 ,100.00 ,1370677,46616724.77,2586972.23,3554451,15106416.75,5159467.68,34.01,38.73,4.25,15.3,71.19,70.05,95.7,86.37,75.73,62.02,82.18,4.98,6.37,4.38,17.53,22.25,14.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
全国,142,201405,1405,100.00 ,100.00 ,1312887,43942327.89,-2674396.88,3609393,13932256.98,-1174159.77,33.47,36,3.86,14.47,71.82,71.9,96.17,87.16,79.07,65.61,85.13,4.97,6.26,4.45,16.94,21.44,14.37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
全国,142,201406,1406,100.00 ,100.00 ,1287109,42435983.73,-1506344.16,3417661,12406109.43,-1526147.55,32.97,36.59,3.63,14.76,72.69,72.24,96.28,86.51,82.75,70.75,88.35,4.88,6.18,4.33,17.15,21.66,14.45,242319,209107,33212,4.22,11.41,0.85,0,0,0,0,0,0,0,0,0,0,0,0
全国,142,201407,1407,100.00 ,100.00 ,1419577,45781358.25,3345374.52,3888356,13687013.12,1280903.69,32.25,35.34,3.52,14.28,73.45,72.61,96.31,87.02,85.66,74.05,90.87,4.58,6.19,3.92,17.77,22.1,15,277841,243699,34142,4.35,12.26,0.78,0,0,0,0,0,0,0,0,0,0,0,0
全国,142,201408,1408,100.00 ,100.00 ,1291032,43469047.44,-2312310.81,3797065,12568285.15,-1118727.97,33.67,35.82,3.31,13.45,74.29,74.11,96.65,87.88,88.11,78.01,92.4,4.25,6.21,3.51,18.09,22.89,14.86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
全国,142,201409,1409,100.00 ,100.00 ,1388295,47535220.8,4066173.36,3665119,11178612.95,-1389672.2,34.24,35.13,3.05,13.81,73.77,72.56,96.91,87.34,89.47,81.35,93.27,4.48,6.5,3.63,18.81,22.92,15.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
全国,142,201410,1410,100.00 ,100.00 ,1241029,41214573.09,-6320647.71,3514157,12615823.63,1437210.68,33.21,32.41,3.59,12.95,74.17,75.14,96.09,88.87,91.12,83.78,94.32,4.18,6.26,3.36,19.45,22.65,17.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
