date,code1,code2,cus1,cus2,cus3,ieFlag,entryCount,passTime,totalTime,influence,contribute
2014-1-1,142,142,全国,全国,全国,E,3678816,3.39,0,,
2014-2-1,142,142,全国,全国,全国,E,1887635,4.14,0,,
2014-3-1,142,142,全国,全国,全国,E,3177939,3.13,0,,
2014-4-1,142,142,全国,全国,全国,E,3554451,4.25,0,,
2014-5-1,142,142,全国,全国,全国,E,3609393,3.86,0,,
2014-6-1,142,142,全国,全国,全国,E,3417661,3.63,0,,
2014-7-1,142,142,全国,全国,全国,E,3888356,3.52,0,,
2014-8-1,142,142,全国,全国,全国,E,3797065,3.31,0,,
2014-9-1,142,142,全国,全国,全国,E,3665119,3.05,0,,
2014-10-1,142,142,全国,全国,全国,E,3514157,3.59,0,,
2014-11-1,142,142,全国,全国,全国,E,3650557,3.34,0,,
2014-12-1,142,142,全国,全国,全国,E,3708328,3.12,0,,
2015-1-1,142,142,全国,全国,全国,E,3554747,3.08,0,,
2015-2-1,142,142,全国,全国,全国,E,3025562,3.64,0,,
2015-3-1,142,142,全国,全国,全国,E,2641802,3.09,0,,
2015-4-1,142,142,全国,全国,全国,E,3453379,2.93,0,,
2015-5-1,142,142,全国,全国,全国,E,3644619,2.86,0,,
2015-6-1,142,142,全国,全国,全国,E,3530493,2.73,0,,
2015-7-1,142,142,全国,全国,全国,E,3656544,2.85,0,,
2015-8-1,142,142,全国,全国,全国,E,3821876,2.57,0,,
2015-9-1,142,142,全国,全国,全国,E,3838234,2.61,0,,
2015-10-1,142,142,全国,全国,全国,E,3463969,2.89,0,,
2015-11-1,142,142,全国,全国,全国,E,3471390,2.7,0,,
2015-12-1,142,142,全国,全国,全国,E,3944992,2.72,0,,
2016-1-1,142,142,全国,全国,全国,E,3605855,2.53,0,,
2016-2-1,142,142,全国,全国,全国,E,2507469,3.26,0,,
2016-3-1,142,142,全国,全国,全国,E,3356893,2.33,0,,
2016-4-1,142,142,全国,全国,全国,E,3617515,2.58,0,,
2016-5-1,142,142,全国,全国,全国,E,3846183,2.63,0,,
2016-6-1,142,142,全国,全国,全国,E,3757794,2.86,0,,
2016-7-1,142,142,全国,全国,全国,E,3920679,2.13,0,,
2016-8-1,142,142,全国,全国,全国,E,4205175,2.39,0,,
2016-9-1,142,142,全国,全国,全国,E,3824139,2.11,0,,
2016-10-1,142,142,全国,全国,全国,E,3585214,2.08,0,,
2016-11-1,142,142,全国,全国,全国,E,4042112,2.08,0,,
2016-12-1,142,142,全国,全国,全国,E,4124847,1.87,0,,
2017-1-1,142,142,全国,全国,全国,E,3942230,1.31,0,,
2017-2-1,142,142,全国,全国,全国,E,2410752,1.32,0,,
2017-3-1,142,142,全国,全国,全国,E,4011675,1.29,0,,
2017-4-1,142,142,全国,全国,全国,E,3989429,1.44,0,,
2017-5-1,142,142,全国,全国,全国,E,4143793,1.24,0,,
2017-6-1,142,142,全国,全国,全国,E,4212631,1.25,0,,
2017-7-1,142,142,全国,全国,全国,E,4156268,1.05,0,,
2017-8-1,142,142,全国,全国,全国,E,4308424,1.04,0,,
2017-9-1,142,142,全国,全国,全国,E,4122282,0.95,0,,
2017-10-1,142,142,全国,全国,全国,E,3774524,0.81,0,,
2017-11-1,142,142,全国,全国,全国,E,4254066,0.85,0,,
2017-12-1,142,142,全国,全国,全国,E,4375201,0.91,0,,
2018-1-1,142,142,全国,全国,全国,E,3954940,0.84,8.68,,
2018-2-1,142,142,全国,全国,全国,E,3370648,0.98,9,,
2018-3-1,142,142,全国,全国,全国,E,3292802,0.97,7.31,,
2018-4-1,142,142,全国,全国,全国,E,3986755,0.88,7.66,,
2018-5-1,142,142,全国,全国,全国,E,4183192,0.77,7.71,,
2018-6-1,142,142,全国,全国,全国,E,4281182,0.65,7.68,,
2018-7-1,142,142,全国,全国,全国,E,4219840,0.59,7.24,,
2018-8-1,142,142,全国,全国,全国,E,4366695,0.62,7.08,,
2018-9-1,142,142,全国,全国,全国,E,4364151,0.53,6.84,,
2018-10-1,142,142,全国,全国,全国,E,4002752,0.53,6.3,,
2018-11-1,142,142,全国,全国,全国,E,4376849,0.63,5.65,,
2018-12-1,142,142,全国,全国,全国,E,4224679,0.48,0,,
2019-1-1,142,142,全国,全国,全国,E,4393617,0.44,5.34,,
2019-2-1,142,142,全国,全国,全国,E,2540750,0.55,5.26,,
2019-3-1,142,142,全国,全国,全国,E,3945284,0.43,4.44,,
2019-4-1,142,142,全国,全国,全国,E,3922492,0.42,4.33,,
2019-5-1,142,142,全国,全国,全国,E,4280783,0.46,4.68,,
2019-6-1,142,142,全国,全国,全国,E,4303558,0.46,4.18,,
2019-7-1,142,142,全国,全国,全国,E,4508849,0.46,4.02,,
2019-8-1,142,142,全国,全国,全国,E,4370455,0.43,3.83,,
2019-9-1,142,142,全国,全国,全国,E,4245212,0.479671927,3.817245118,,
2019-10-1,142,142,全国,全国,全国,E,4107069,0.53708632,3.466198374,,
2019-11-1,142,142,全国,全国,全国,E,4277099,0.609544605,3.134382234,,
2019-12-1,142,142,全国,全国,全国,E,4519312,0.509746419,2.630951701,,
2014-1-1,37,37,厦门海关,厦门海关,厦门海关,E,162126,3.72,0,,
2014-2-1,37,37,厦门海关,厦门海关,厦门海关,E,67335,3.01,0,,
2014-3-1,37,37,厦门海关,厦门海关,厦门海关,E,126901,2.16,0,,
2014-4-1,37,37,厦门海关,厦门海关,厦门海关,E,140473,2.1,0,,
2014-5-1,37,37,厦门海关,厦门海关,厦门海关,E,135806,2.18,0,,
2014-6-1,37,37,厦门海关,厦门海关,厦门海关,E,135722,1.97,0,,
2014-7-1,37,37,厦门海关,厦门海关,厦门海关,E,149853,1.59,0,,
2014-8-1,37,37,厦门海关,厦门海关,厦门海关,E,144503,1.66,0,,
2014-9-1,37,37,厦门海关,厦门海关,厦门海关,E,131883,1.37,0,,
2014-10-1,37,37,厦门海关,厦门海关,厦门海关,E,133362,1.35,0,,
2014-11-1,37,37,厦门海关,厦门海关,厦门海关,E,135496,1.09,0,,
2014-12-1,37,37,厦门海关,厦门海关,厦门海关,E,138767,1.14,0,,
2015-1-1,37,37,厦门海关,厦门海关,厦门海关,E,146249,1.32,0,,
2015-2-1,37,37,厦门海关,厦门海关,厦门海关,E,124100,1.56,0,,
2015-3-1,37,37,厦门海关,厦门海关,厦门海关,E,93748,1.06,0,,
2015-4-1,37,37,厦门海关,厦门海关,厦门海关,E,130322,0.94,0,,
2015-5-1,37,37,厦门海关,厦门海关,厦门海关,E,135545,0.9,0,,
2015-6-1,37,37,厦门海关,厦门海关,厦门海关,E,136805,0.9,0,,
2015-7-1,37,37,厦门海关,厦门海关,厦门海关,E,116900,1.11,0,,
2015-8-1,37,37,厦门海关,厦门海关,厦门海关,E,161636,1.07,0,,
2015-9-1,37,37,厦门海关,厦门海关,厦门海关,E,145731,0.79,0,,
2015-10-1,37,37,厦门海关,厦门海关,厦门海关,E,127042,0.94,0,,
2015-11-1,37,37,厦门海关,厦门海关,厦门海关,E,129820,1.13,0,,
2015-12-1,37,37,厦门海关,厦门海关,厦门海关,E,143549,1.12,0,,
2016-1-1,37,37,厦门海关,厦门海关,厦门海关,E,151585,1.18,0,,
2016-2-1,37,37,厦门海关,厦门海关,厦门海关,E,94460,1.29,0,,
2016-3-1,37,37,厦门海关,厦门海关,厦门海关,E,127160,1.29,0,,
2016-4-1,37,37,厦门海关,厦门海关,厦门海关,E,136466,1.63,0,,
2016-5-1,37,37,厦门海关,厦门海关,厦门海关,E,146216,1.34,0,,
2016-6-1,37,37,厦门海关,厦门海关,厦门海关,E,136890,1.3,0,,
2016-7-1,37,37,厦门海关,厦门海关,厦门海关,E,144426,1.25,0,,
2016-8-1,37,37,厦门海关,厦门海关,厦门海关,E,153540,1.28,0,,
2016-9-1,37,37,厦门海关,厦门海关,厦门海关,E,124989,1.06,0,,
2016-10-1,37,37,厦门海关,厦门海关,厦门海关,E,137194,0.97,0,,
2016-11-1,37,37,厦门海关,厦门海关,厦门海关,E,147220,0.95,0,,
2016-12-1,37,37,厦门海关,厦门海关,厦门海关,E,151050,1.11,0,,
2017-1-1,37,37,厦门海关,厦门海关,厦门海关,E,151623,1.35,0,,
2017-2-1,37,37,厦门海关,厦门海关,厦门海关,E,90264,1.02,0,,
2017-3-1,37,37,厦门海关,厦门海关,厦门海关,E,148224,1.21,0,,
2017-4-1,37,37,厦门海关,厦门海关,厦门海关,E,138738,1.14,0,,
2017-5-1,37,37,厦门海关,厦门海关,厦门海关,E,151685,1.03,0,,
2017-6-1,37,37,厦门海关,厦门海关,厦门海关,E,150317,1.01,0,,
2017-7-1,37,37,厦门海关,厦门海关,厦门海关,E,153719,0.52,0,,
2017-8-1,37,37,厦门海关,厦门海关,厦门海关,E,163519,0.43,0,,
2017-9-1,37,37,厦门海关,厦门海关,厦门海关,E,134741,0.59,0,,
2017-10-1,37,37,厦门海关,厦门海关,厦门海关,E,143699,0.35,0,,
2017-11-1,37,37,厦门海关,厦门海关,厦门海关,E,153704,0.37,0,,
2017-12-1,37,37,厦门海关,厦门海关,厦门海关,E,155786,0.45,0,,
2018-1-1,37,37,厦门海关,厦门海关,厦门海关,E,162413,0.35,16.65,,
2018-2-1,37,37,厦门海关,厦门海关,厦门海关,E,126819,0.4,16.69,,
2018-3-1,37,37,厦门海关,厦门海关,厦门海关,E,117580,0.34,13.25,,
2018-4-1,37,37,厦门海关,厦门海关,厦门海关,E,150493,0.38,14.34,,
2018-5-1,37,37,厦门海关,厦门海关,厦门海关,E,152782,0.42,15.02,,
2018-6-1,37,37,厦门海关,厦门海关,厦门海关,E,155288,0.37,14.86,,
2018-7-1,37,37,厦门海关,厦门海关,厦门海关,E,160096,0.35,11.02,,
2018-8-1,37,37,厦门海关,厦门海关,厦门海关,E,165938,0.26,7.27,,
2018-9-1,37,37,厦门海关,厦门海关,厦门海关,E,159210,0.29,5.27,,
2018-10-1,37,37,厦门海关,厦门海关,厦门海关,E,144800,0.32,5.64,,
2018-11-1,37,37,厦门海关,厦门海关,厦门海关,E,150308,0.3,5.15,,
2018-12-1,37,37,厦门海关,厦门海关,厦门海关,E,161069,0.5,0,,
2019-1-1,37,37,厦门海关,厦门海关,厦门海关,E,174374,0.34,4.48,,
2019-2-1,37,37,厦门海关,厦门海关,厦门海关,E,84406,0.46,4.4,,
2019-3-1,37,37,厦门海关,厦门海关,厦门海关,E,137691,0.35,4.27,,
2019-4-1,37,37,厦门海关,厦门海关,厦门海关,E,151189,0.39,4.64,,
2019-5-1,37,37,厦门海关,厦门海关,厦门海关,E,151203,0.45,4.78,,
2019-6-1,37,37,厦门海关,厦门海关,厦门海关,E,156208,0.44,4.44,,
2019-7-1,37,37,厦门海关,厦门海关,厦门海关,E,160417,0.36,4.88,,
2019-8-1,37,37,厦门海关,厦门海关,厦门海关,E,157625,0.38,4.49,,
2019-9-1,37,37,厦门海关,厦门海关,厦门海关,E,151094,0.505480929,4.298784252,,
2019-10-1,37,37,厦门海关,厦门海关,厦门海关,E,145290,0.511745077,4.444713292,,
