cus_code,cus_2_name,ie,ym,entry_id_count,pass_time_total,pass_time_cus
直属关代码,直属关名称,进出口标志,年月,报关单量,整体通关时间(小时),海关通关时间（小时）
0,全国,E,202001,4260928,2.597815046,0.364166384
0,全国,E,202002,1371340,2.33679877,0.351124945
0,全国,E,202003,3668699,2.376444284,0.318671153
0,全国,E,202004,3669679,2.57438313,0.49537329
0,全国,E,202005,3827603,2.561645445,0.603198461
0,全国,E,202006,3947130,2.279341888,0.490010053
0,全国,I,202001,1048593,40.45818848,9.198993315
0,全国,I,202002,990737,79.68027951,11.94283879
0,全国,I,202003,1348927,48.81999297,9.01827181
0,全国,I,202004,1325863,41.78421848,8.821113491
0,全国,I,202005,1214741,39.69217779,8.846064584
0,全国,I,202006,1340437,39.65560086,9.535831158
1,北京海关,E,202001,58534,0.656252672,0.427496246
1,北京海关,E,202002,25079,0.922393559,0.673398627
1,北京海关,E,202003,53857,0.947648562,0.582776731
1,北京海关,E,202004,51915,2.085234047,1.660264107
1,北京海关,E,202005,66427,3.20973307,2.505815047
1,北京海关,E,202006,56957,2.101376867,1.579204
1,北京海关,I,202001,52189,33.91820683,7.415595288
1,北京海关,I,202002,48011,51.31893994,8.034864915
1,北京海关,I,202003,59812,42.66398978,7.045350636
1,北京海关,I,202004,59059,40.81260711,7.057631952
1,北京海关,I,202005,55059,40.08531175,7.10860527
1,北京海关,I,202006,61892,40.28318597,7.86207053
2,天津海关,E,202001,129850,3.359482138,0.681245217
2,天津海关,E,202002,45985,3.465440349,0.891047002
2,天津海关,E,202003,116370,1.287731221,0.464848176
2,天津海关,E,202004,118968,1.180544014,0.543433589
2,天津海关,E,202005,114911,1.207661321,0.564839661
2,天津海关,E,202006,120168,1.02966879,0.506052238
2,天津海关,I,202001,48347,44.54629814,13.53264899
2,天津海关,I,202002,42761,99.40573717,23.20282313
2,天津海关,I,202003,54842,62.77996802,10.65987224
2,天津海关,I,202004,53777,32.35934917,7.822792235
2,天津海关,I,202005,50226,28.31303348,9.184451598
2,天津海关,I,202006,57586,32.56500205,13.21264937
4,石家庄海关,E,202001,6050,3.340956933,0.704487603
4,石家庄海关,E,202002,3302,4.825522158,0.885000252
4,石家庄海关,E,202003,7284,2.731887089,0.386794687
4,石家庄海关,E,202004,7490,2.288605066,0.363983385
4,石家庄海关,E,202005,7069,2.477599299,0.591065293
4,石家庄海关,E,202006,7844,1.773866366,0.385883655
4,石家庄海关,I,202001,1399,47.01358053,30.66135235
4,石家庄海关,I,202002,1638,85.92337268,35.1524091
4,石家庄海关,I,202003,1883,56.17331534,27.58272556
4,石家庄海关,I,202004,1914,48.18688886,19.84879644
4,石家庄海关,I,202005,1838,35.18730565,15.7717643
4,石家庄海关,I,202006,2088,45.96951296,23.38982266
5,太原海关,E,202001,472,1.566232345,0.746703743
5,太原海关,E,202002,266,2.916995614,1.338654971
5,太原海关,E,202003,1188,2.952232744,2.44442457
5,太原海关,E,202004,1136,8.373497408,7.762140552
5,太原海关,E,202005,1202,2.751932196,2.517249723
5,太原海关,E,202006,1285,2.527517077,1.918830955
5,太原海关,I,202001,1043,33.24721663,5.539579472
5,太原海关,I,202002,521,87.20039134,15.83265302
5,太原海关,I,202003,909,55.32857016,6.584900379
5,太原海关,I,202004,729,57.25283341,8.078289133
5,太原海关,I,202005,658,50.68738982,10.67461837
5,太原海关,I,202006,1229,36.2045518,13.23726404
6,满洲里海关,E,202001,4267,0.843873591,0.525030466
6,满洲里海关,E,202002,3144,1.30273802,0.924401771
6,满洲里海关,E,202003,4740,0.976842475,0.384438408
6,满洲里海关,E,202004,3489,1.178093373,0.765802522
6,满洲里海关,E,202005,3358,0.626105155,0.489646284
6,满洲里海关,E,202006,3144,0.822464483,0.616052446
6,满洲里海关,I,202001,9185,52.01357676,17.66887047
6,满洲里海关,I,202002,5338,42.14369442,6.029399796
6,满洲里海关,I,202003,6954,36.8098528,5.510662169
6,满洲里海关,I,202004,7839,43.83302809,6.170255595
6,满洲里海关,I,202005,10527,55.70807627,7.79191658
6,满洲里海关,I,202006,8875,50.59382617,8.375811205
7,呼和浩特海关,E,202001,3956,0.577574992,0.400168731
7,呼和浩特海关,E,202002,1670,0.614117265,0.408716567
7,呼和浩特海关,E,202003,4610,0.36533014,0.206931248
7,呼和浩特海关,E,202004,6208,0.357588193,0.175437115
7,呼和浩特海关,E,202005,7501,0.329277689,0.179135152
7,呼和浩特海关,E,202006,7517,0.505826534,0.366072421
7,呼和浩特海关,I,202001,6081,48.20038028,22.51290669
7,呼和浩特海关,I,202002,5657,66.08921366,33.5476123
7,呼和浩特海关,I,202003,5979,52.00087022,27.77006137
7,呼和浩特海关,I,202004,7685,48.82047184,28.23087038
7,呼和浩特海关,I,202005,7776,32.54117109,15.31321938
7,呼和浩特海关,I,202006,8128,53.32366412,24.20213039
8,沈阳海关,E,202001,2363,0.38159684,0.193970353
8,沈阳海关,E,202002,1750,0.591142063,0.232329206
8,沈阳海关,E,202003,2277,0.714893988,0.143929147
8,沈阳海关,E,202004,2140,0.96643419,0.565847871
8,沈阳海关,E,202005,1829,2.007438947,1.69470263
8,沈阳海关,E,202006,1570,1.969520878,1.524771231
8,沈阳海关,I,202001,2418,43.43312448,12.28632559
8,沈阳海关,I,202002,2535,64.4496957,8.473599496
8,沈阳海关,I,202003,3143,56.73670829,11.074657
8,沈阳海关,I,202004,1974,69.255545,11.94447231
8,沈阳海关,I,202005,1513,70.20687211,12.4653167
8,沈阳海关,I,202006,2377,56.3177807,12.72249696
9,大连海关,E,202001,73976,2.433474565,0.79284103
9,大连海关,E,202002,35322,3.716663466,0.948994505
9,大连海关,E,202003,73699,3.213717554,0.765558382
9,大连海关,E,202004,65230,3.173951543,0.674785439
9,大连海关,E,202005,61136,3.371439332,1.063139894
9,大连海关,E,202006,58994,3.036392486,0.79508935
9,大连海关,I,202001,25932,51.24815115,24.15604589
9,大连海关,I,202002,28321,93.33461897,24.49221673
9,大连海关,I,202003,37269,49.2908122,13.54630947
9,大连海关,I,202004,33743,46.77247978,16.11587466
9,大连海关,I,202005,29322,47.22233594,19.33715135
9,大连海关,I,202006,37847,40.03816003,16.51588032
15,长春海关,E,202001,2854,2.04221609,0.559888655
15,长春海关,E,202002,1016,3.716370571,1.240097058
15,长春海关,E,202003,1681,2.957072675,0.642195618
15,长春海关,E,202004,1298,4.773387476,2.475829695
15,长春海关,E,202005,1174,3.27994771,1.752209445
15,长春海关,E,202006,1256,2.755725849,1.474831697
15,长春海关,I,202001,3569,31.95667873,5.7267968
15,长春海关,I,202002,2401,58.72282047,5.727509487
15,长春海关,I,202003,3400,46.20133758,3.398098611
15,长春海关,I,202004,3257,51.96478388,5.351501126
15,长春海关,I,202005,2961,49.4206382,7.397076837
15,长春海关,I,202006,3204,44.59746428,7.773754075
19,哈尔滨海关,E,202001,2898,0.372429262,0.221774596
19,哈尔滨海关,E,202002,1561,1.094890384,0.947295359
19,哈尔滨海关,E,202003,3546,0.475683164,0.180655982
19,哈尔滨海关,E,202004,3204,1.596133999,1.386984499
19,哈尔滨海关,E,202005,2850,1.430013645,1.157808382
19,哈尔滨海关,E,202006,3851,1.034624268,0.578055628
19,哈尔滨海关,I,202001,10150,22.38292939,5.723526875
19,哈尔滨海关,I,202002,8377,19.41727478,3.376159988
19,哈尔滨海关,I,202003,11154,24.1874039,4.315380033
19,哈尔滨海关,I,202004,9019,33.66439424,4.803451221
19,哈尔滨海关,I,202005,8646,35.56440223,18.07683144
19,哈尔滨海关,I,202006,8306,25.35286774,6.456503197
22,上海海关,E,202001,1366231,2.169951179,0.218500813
22,上海海关,E,202002,385324,1.689282981,0.179574146
22,上海海关,E,202003,1134268,2.682314552,0.228085069
22,上海海关,E,202004,1108833,2.637001452,0.288317341
22,上海海关,E,202005,1169585,2.459591188,0.379160928
22,上海海关,E,202006,1172918,2.477830183,0.358454924
22,上海海关,I,202001,329941,53.65519181,12.3487804
22,上海海关,I,202002,351570,112.4940548,15.90944454
22,上海海关,I,202003,452572,67.47006946,13.07915607
22,上海海关,I,202004,434152,58.15146537,12.67525082
22,上海海关,I,202005,396659,55.01112978,12.4523488
22,上海海关,I,202006,452386,54.38894071,13.2731011
23,南京海关,E,202001,159471,3.178441998,0.611057035
23,南京海关,E,202002,79839,3.043893252,0.582961728
23,南京海关,E,202003,175123,2.789446581,0.518657582
23,南京海关,E,202004,179318,2.839705805,0.549434296
23,南京海关,E,202005,175362,2.749953461,0.635944798
23,南京海关,E,202006,170540,3.412885538,0.70472397
23,南京海关,I,202001,115327,48.49262781,7.940704692
23,南京海关,I,202002,113962,95.13790066,11.0027769
23,南京海关,I,202003,150872,53.5387339,7.398940642
23,南京海关,I,202004,149488,45.55979796,8.0188177
23,南京海关,I,202005,130764,45.35891961,8.053517977
23,南京海关,I,202006,140848,48.0296848,8.649542493
29,杭州海关,E,202001,119931,2.319226646,0.413421949
29,杭州海关,E,202002,12279,1.754939576,0.705058818
29,杭州海关,E,202003,71909,2.297713661,0.313993829
29,杭州海关,E,202004,67304,2.486637706,0.452519154
29,杭州海关,E,202005,90754,2.933317849,0.431171598
29,杭州海关,E,202006,136511,3.279436315,0.529876237
29,杭州海关,I,202001,7743,41.87959946,8.319462741
29,杭州海关,I,202002,7847,96.6986486,13.71476219
29,杭州海关,I,202003,10209,61.30839181,12.10532572
29,杭州海关,I,202004,10446,52.2384585,12.97410753
29,杭州海关,I,202005,9170,45.533593,10.88646141
29,杭州海关,I,202006,10267,45.02029696,11.56340817
31,宁波海关,E,202001,473400,3.323487531,0.369957617
31,宁波海关,E,202002,76896,2.681743961,0.250023307
31,宁波海关,E,202003,301204,3.368570595,0.285799574
31,宁波海关,E,202004,335158,3.002453966,0.332114204
31,宁波海关,E,202005,359226,2.927127576,0.488128279
