cus_code,cus_2_name,ie,ym,entry_id_count,pass_time_total,pass_time_cus
直属关代码,直属关名称,进出口标志,年月,报关单量,整体通关时间(小时),海关通关时间（小时）
37,厦门海关,E,202001,167562,4.171500705,0.313650795
37,厦门海关,E,202002,52972,3.149861053,0.23337466
37,厦门海关,E,202003,129827,2.979398995,0.218115255
37,厦门海关,E,202004,120239,2.873993879,0.267932715
37,厦门海关,E,202005,123478,1.702566478,0.283150384
37,厦门海关,E,202006,138867,1.575781201,0.273089137
37,厦门海关,I,202001,25210,36.97551764,4.759758473
37,厦门海关,I,202002,25227,61.03312334,4.433872603
37,厦门海关,I,202003,29609,37.27863667,4.670306063
37,厦门海关,I,202004,28565,34.6387508,4.691201159
37,厦门海关,I,202005,24519,32.18348691,4.757325011
37,厦门海关,I,202006,29841,31.54403581,4.920226981
37,厦门海关,I,201910,0,44.48478875,9.569193135
37,厦门海关,E,201910,0,4.496920476,0.511745077
37,厦门海关,I,201911,0,36.39009987,6.875255055
37,厦门海关,E,201911,0,4.02,0.456012313
37,厦门海关,I,201912,0,35.03982439,5.04472322
37,厦门海关,E,201912,0,4.36107489,0.365511232
37AA,泉刺桐办,I,202006,89,16.63191011,4.092808989
37AA,泉刺桐办,I,201910,59,8.104237288,2.499152542
37AA,泉刺桐办,I,201911,54,12.525,1.372592593
37AA,泉刺桐办,I,201912,61,20.94147541,2.23557377
37AA,泉刺桐办,I,202001,49,17.40122449,2.258571429
37AA,泉刺桐办,I,202002,44,22.25454545,1.112954545
37AA,泉刺桐办,I,202003,95,21.81126316,1.706631579
37AA,泉刺桐办,I,202004,62,10.96435484,1.036451613
37AA,泉刺桐办,I,202005,72,13.01905478,1.755675154
37AB,漳州海关,I,202006,88,23.25784091,23.27272727
37AB,漳州海关,I,201910,38,45.08526316,43.73526316
37AB,漳州海关,I,201911,38,50.58815789,43.21078947
37AB,漳州海关,I,201912,41,16.14804878,14.26756098
37AB,漳州海关,I,202001,36,7.448333333,5.900833333
37AB,漳州海关,I,202002,37,6.465135135,5.375135135
37AB,漳州海关,I,202003,56,4.715892857,3.031607143
37AB,漳州海关,I,202004,80,8.109,4.130125
37AB,漳州海关,I,202005,91,4.922747253,3.630952381
37AC,东山海关,I,202006,120,15.80133333,15.14383333
37AC,东山海关,I,201910,84,5.118928571,4.989642857
37AC,东山海关,I,201911,77,2.34025974,2.045324675
37AC,东山海关,I,201912,82,0.807804878,0.807804878
37AC,东山海关,I,202001,53,0.773396226,0.773396226
37AC,东山海关,I,202002,33,0.918787879,0.707878788
37AC,东山海关,I,202003,66,1.125151515,1.125151515
37AC,东山海关,I,202004,71,1.517183099,1.025352113
37AC,东山海关,I,202005,85,2.023735294,1.157297386
37AD,泉石狮办,I,202006,482,16.4173029,7.249045643
37AD,泉石狮办,I,201910,285,12.01403509,2.803087719
37AD,泉石狮办,I,201911,416,14.11105769,3.883605769
37AD,泉石狮办,I,201912,476,10.86285714,3.54539916
37AD,泉石狮办,I,202001,235,7.418,3.722595745
37AD,泉石狮办,I,202002,296,53.66952703,3.203445946
37AD,泉石狮办,I,202003,396,22.33542929,4.168863636
37AD,泉石狮办,I,202004,339,33.17834808,4.041297935
37AD,泉石狮办,I,202005,320,21.85350955,3.454616319
37AE,龙岩海关,I,202006,10,5.811,3.528
37AE,龙岩海关,I,201910,8,5.92875,5.43125
37AE,龙岩海关,I,201911,9,5.786666667,2.918888889
37AE,龙岩海关,I,201912,13,5.234615385,5.078461538
37AE,龙岩海关,I,202001,12,6.1725,3.59
37AE,龙岩海关,I,202002,5,0.108,1.206
37AE,龙岩海关,I,202003,27,4.961111111,4.208888889
37AE,龙岩海关,I,202004,27,4.541111111,4.183703704
37AE,龙岩海关,I,202005,2,60.67555556,60.67555556
37AF,泉泉港办,I,202006,46,20.95369565,20.87434783
37AF,泉泉港办,I,201910,44,11.51409091,11.2125
37AF,泉泉港办,I,201911,46,2.260869565,2.238913043
37AF,泉泉港办,I,201912,71,1.50971831,1.120422535
37AF,泉泉港办,I,202001,43,1.98372093,0.930465116
37AF,泉泉港办,I,202002,30,1.476666667,0.509333333
37AF,泉泉港办,I,202003,33,1.097878788,1.096060606
37AF,泉泉港办,I,202004,33,5.495151515,5.160909091
37AF,泉泉港办,I,202005,43,4.148346253,4.119515504
37AG,海沧海关,I,202006,4834,75.87132809,24.44282789
37AG,海沧海关,I,201910,4325,67.77928092,25.77212254
37AG,海沧海关,I,201911,4997,49.35129077,17.65204323
37AG,海沧海关,I,201912,5108,41.21272122,10.66092013
37AG,海沧海关,I,202001,3794,46.4097417,10.45128097
37AG,海沧海关,I,202002,4003,86.46281289,9.885978016
37AG,海沧海关,I,202003,4210,46.74281235,10.02369596
37AG,海沧海关,I,202004,3907,43.01037881,10.28441771
37AG,海沧海关,I,202005,3476,42.01465701,9.134362294
37AH,高崎海关,I,202006,1,14.51,0.11
37AH,高崎海关,I,201911,1,52.65,0.07
37AH,高崎海关,I,201912,1,7.12,0.07
37AH,高崎海关,I,202002,1,13.05,0.07
37AH,高崎海关,I,202003,1,12.28,0.07
37AI,东渡海关,I,202006,9791,48.96619242,13.84375345
37AI,东渡海关,I,201910,10068,52.13552344,12.38982122
37AI,东渡海关,I,201911,10080,39.90342857,8.946965278
37AI,东渡海关,I,201912,10340,41.41327466,7.51717795
37AI,东渡海关,I,202001,8009,45.35272194,6.741298539
37AI,东渡海关,I,202002,7611,67.52453948,6.207067402
37AI,东渡海关,I,202003,9822,43.60489412,6.751256363
37AI,东渡海关,I,202004,10893,36.8383494,6.063624346
37AI,东渡海关,I,202005,9605,36.42382101,6.535535311
37AJ,邮局海关,I,202006,6344,58.59934741,6.358541929
37AJ,邮局海关,I,201910,4908,52.19132641,4.164113692
37AJ,邮局海关,I,201911,5624,42.89834104,3.156427809
37AJ,邮局海关,I,201912,5345,42.24561085,2.721028999
37AJ,邮局海关,I,202001,3678,42.42230288,2.537846656
37AJ,邮局海关,I,202002,4461,66.40794889,2.471203766
37AJ,邮局海关,I,202003,5251,45.41746334,2.272721386
37AJ,邮局海关,I,202004,4567,40.50431574,2.519505146
37AJ,邮局海关,I,202005,3610,40.74534272,2.787527008
37AK,机场海关,I,202006,10201,32.28131654,3.572607587
37AK,机场海关,I,201910,9364,32.15457176,3.588492097
37AK,机场海关,I,201911,10177,31.52646163,2.876766238
37AK,机场海关,I,201912,10743,30.52729684,2.066775575
37AK,机场海关,I,202001,7289,28.25441899,1.860493895
37AK,机场海关,I,202002,6925,50.2308231,1.671305415
37AK,机场海关,I,202003,7095,30.14917829,1.781811135
37AK,机场海关,I,202004,6305,30.74018239,2.081149881
37AK,机场海关,I,202005,5253,27.65002951,2.34458299
37AL,集同海关,I,202006,717,131.1797768,3.893849372
37AL,集同海关,I,201910,664,10.82472892,4.664487952
37AL,集同海关,I,201911,739,8.9964682,4.983464141
37AL,集同海关,I,201912,772,6.924015544,4.12361399
37AL,集同海关,I,202001,556,7.883830935,3.922302158
37AL,集同海关,I,202002,693,5.755194805,3.32034632
37AL,集同海关,I,202003,873,5.811718213,3.733115693
37AL,集同海关,I,202004,678,6.192699115,4.136297935
37AL,集同海关,I,202005,543,5.385882955,3.572081543
37AM,泉晋江办,I,202006,628,25.33071656,7.903089172
37AM,泉晋江办,I,201910,451,17.88578714,2.49616408
37AM,泉晋江办,I,201911,692,22.15501445,3.991141618
37AM,泉晋江办,I,201912,649,22.30379045,3.439275809
37AM,泉晋江办,I,202001,519,17.75976879,2.314585742
37AM,泉晋江办,I,202002,262,28.83679389,2.686068702
37AM,泉晋江办,I,202003,443,26.51370203,3.757471783
37AM,泉晋江办,I,202004,374,16.92042781,2.905347594
37AM,泉晋江办,I,202005,360,16.44727855,4.115300926
37AN,翔安海关,I,202006,1013,27.78921027,13.93094768
37AN,翔安海关,I,201910,957,34.81840125,6.252852665
37AN,翔安海关,I,201911,833,26.38242497,4.331272509
37AN,翔安海关,I,201912,881,29.34862656,4.103405221
37AN,翔安海关,I,202001,715,30.99523077,3.97158042
37AN,翔安海关,I,202002,616,38.62487013,4.028230519
37AN,翔安海关,I,202003,1002,28.87670659,4.090518962
37AN,翔安海关,I,202004,881,18.74455165,3.375800227
37AN,翔安海关,I,202005,935,17.5264186,2.488386215
37AO,邮轮海关,I,202006,81,12.9537037,1.412469136
37AO,邮轮海关,I,201910,137,27.36138686,7.550364964
37AO,邮轮海关,I,201911,119,18.74470588,1.169831933
37AO,邮轮海关,I,201912,117,18.03666667,1.914700855
37AO,邮轮海关,I,202001,147,35.20959184,2.470612245
37AO,邮轮海关,I,202002,131,42.79687023,2.574427481
37AO,邮轮海关,I,202003,127,35.96370079,2.007874016
37AO,邮轮海关,I,202004,52,17.61538462,1.147307692
37AO,邮轮海关,I,202005,51,25.33387255,1.545604575
37AA,泉刺桐办,E,202005,3,0.063333333,0.063333333
37AA,泉刺桐办,E,202006,5,0.084,0.084
37AA,泉刺桐办,E,201910,2,2.68,2.68
37AA,泉刺桐办,E,201911,1,2.76,2.76
37AA,泉刺桐办,E,201912,4,1.1775,1.1775
37AA,泉刺桐办,E,202001,4,0.08,0.08
37AA,泉刺桐办,E,202002,3,0.516666667,0.516666667
37AA,泉刺桐办,E,202003,7,0.081428571,0.081428571
37AA,泉刺桐办,E,202004,5,0.076,0.076
37AB,漳州海关,E,202005,363,0.339504132,0.360716253
37AB,漳州海关,E,202006,368,0.459755435,0.468559783
37AB,漳州海关,E,201910,336,0.617589286,0.639345238
37AB,漳州海关,E,201911,367,0.364223433,0.39359673
37AB,漳州海关,E,201912,505,0.47219802,0.483069307
37AB,漳州海关,E,202001,517,0.294564797,0.306170213
37AB,漳州海关,E,202002,101,0.164257426,0.164257426
37AB,漳州海关,E,202003,392,0.417015306,0.438979592
37AB,漳州海关,E,202004,425,0.436517647,0.470258824
37AC,东山海关,E,202005,307,1.365276873,1.371433225
37AC,东山海关,E,202006,354,3.334350282,3.33440678
37AC,东山海关,E,201910,360,1.131694444,1.155805556
37AC,东山海关,E,201911,339,1.416135693,1.416342183
37AC,东山海关,E,201912,381,0.805958005,0.811181102
37AC,东山海关,E,202001,316,0.847594937,0.854335443
37AC,东山海关,E,202002,152,0.571644737,0.571710526
37AC,东山海关,E,202003,295,1.352949153,1.352983051
37AC,东山海关,E,202004,239,0.224769874,0.429958159
37AD,泉石狮办,E,202005,2671,1.008255335,1.008311494
37AD,泉石狮办,E,202006,3560,1.239575843,1.239575843
37AD,泉石狮办,E,201910,4544,0.90181118,0.90181118
37AD,泉石狮办,E,201911,4617,0.973017111,0.973017111
37AD,泉石狮办,E,201912,6032,0.955492374,0.955492374
