I_E_FLAG,END_DATE,DECL_PORT,DECL_PORT_s,I_E_PORT,I_E_PORT_s
E,2018-10-28 8:00,3708,7,3708,7
E,2018-10-28 8:14,3708,7,3708,7
E,2018-10-28 8:22,3708,7,3708,7
E,2018-10-28 8:26,3708,7,3708,7
E,2018-10-28 8:29,3708,7,3708,7
E,2018-10-28 8:30,3708,7,3708,7
E,2018-10-28 8:32,3708,7,3708,7
E,2018-10-28 8:33,3708,7,3708,7
E,2018-10-28 9:03,3711,10,3711,10
E,2018-10-28 9:04,3711,10,3711,10
E,2018-10-28 9:04,3715,14,3715,14
E,2018-10-28 9:14,3715,14,3715,14
E,2018-10-28 9:15,3715,14,3715,14
E,2018-10-28 9:15,3715,14,3715,14
E,2018-10-28 9:16,3715,14,3715,14
E,2018-10-28 9:18,3711,10,3711,10
E,2018-10-28 9:21,3715,14,3715,14
E,2018-10-28 9:21,3715,14,3715,14
E,2018-10-28 9:21,3711,10,3711,10
E,2018-10-28 9:26,3711,10,3711,10
E,2018-10-28 9:31,3715,14,3715,14
E,2018-10-28 9:34,3711,10,3711,10
E,2018-10-28 9:35,3715,14,3715,14
E,2018-10-28 9:37,3711,10,3711,10
E,2018-10-28 9:37,3711,10,3711,10
I,2018-10-28 9:39,3715,14,3715,14
E,2018-10-28 9:44,3715,14,3715,14
E,2018-10-28 9:48,3711,10,3711,10
E,2018-10-28 9:51,3711,10,3711,10
E,2018-10-28 9:51,3711,10,3711,10
E,2018-10-28 9:51,3715,14,3715,14
E,2018-10-28 9:52,3715,14,3715,14
E,2018-10-28 9:52,3711,10,3711,10
E,2018-10-28 9:52,3711,10,3711,10
E,2018-10-28 9:52,3711,10,3711,10
E,2018-10-28 9:53,3715,14,3715,14
E,2018-10-28 9:54,3715,14,3715,14
E,2018-10-28 9:54,3715,14,3715,14
E,2018-10-28 9:56,3711,10,3711,10
E,2018-10-28 10:01,3711,10,3711,10
E,2018-10-28 10:03,3711,10,3711,10
E,2018-10-28 10:04,3715,14,3715,14
E,2018-10-28 10:04,3711,10,3711,10
E,2018-10-28 10:07,3715,14,3715,14
E,2018-10-28 10:07,3711,10,3711,10
I,2018-10-28 10:10,3715,14,3715,14
E,2018-10-28 10:10,3711,10,3711,10
E,2018-10-28 10:12,3715,14,3715,14
I,2018-10-28 10:13,3715,14,3715,14
E,2018-10-28 10:13,3715,14,3715,14
E,2018-10-28 10:13,3711,10,3711,10
E,2018-10-28 10:17,3715,14,3715,14
I,2018-10-28 10:18,3715,14,3715,14
E,2018-10-28 10:20,3715,14,3715,14
E,2018-10-28 10:21,3715,14,3715,14
E,2018-10-28 10:22,3715,14,3715,14
E,2018-10-28 10:23,3715,14,3715,14
E,2018-10-28 10:36,3711,10,3711,10
E,2018-10-28 10:37,3715,14,3715,14
E,2018-10-28 10:37,3715,14,3715,14
E,2018-10-28 10:40,3715,14,3715,14
E,2018-10-28 10:41,3715,14,3715,14
