I_E_FLAG,END_DATE,DECL_PORT,I_E_PORT,COUNTRY,DELAY,
E,2018/10/28 8:00,3708,3708,143,0 ,
E,2018/10/28 8:14,3708,3708,304,535 ,
E,2018/10/28 8:22,3708,3708,502,830 ,
E,2018/10/28 8:26,3708,3708,502,1006 ,
E,2018/10/28 8:29,3708,3708,303,1119 ,
E,2018/10/28 8:30,3708,3708,110,1157 ,
E,2018/10/28 8:32,3708,3708,116,1206 ,
E,2018/10/28 8:33,3708,3708,142,1260 ,
E,2018/10/28 9:03,3711,3711,110,2405 ,
E,2018/10/28 9:04,3711,3711,142,2422 ,
E,2018/10/28 9:04,3715,3715,502,2422 ,
E,2018/10/28 9:14,3715,3715,304,2828 ,
E,2018/10/28 9:15,3715,3715,142,2844 ,
E,2018/10/28 9:15,3715,3715,142,2858 ,
E,2018/10/28 9:16,3715,3715,116,2886 ,
E,2018/10/28 9:18,3711,3711,303,2945 ,
E,2018/10/28 9:21,3715,3715,133,3059 ,
E,2018/10/28 9:21,3715,3715,110,3059 ,
E,2018/10/28 9:21,3711,3711,136,3069 ,
E,2018/10/28 9:26,3711,3711,110,3272 ,
E,2018/10/28 9:31,3715,3715,142,3451 ,
E,2018/10/28 9:34,3711,3711,116,3558 ,
E,2018/10/28 9:35,3715,3715,136,3607 ,
E,2018/10/28 9:37,3711,3711,601,3674 ,
E,2018/10/28 9:37,3711,3711,304,3685 ,
I,2018/10/28 9:39,3715,3715,502,3739 ,
E,2018/10/28 9:44,3715,3715,502,3925 ,
E,2018/10/28 9:48,3711,3711,143,4084 ,
E,2018/10/28 9:51,3711,3711,116,4197 ,
E,2018/10/28 9:51,3711,3711,116,4203 ,
E,2018/10/28 9:51,3715,3715,142,4203 ,
E,2018/10/28 9:52,3715,3715,142,4237 ,
E,2018/10/28 9:52,3711,3711,501,4238 ,
E,2018/10/28 9:52,3711,3711,116,4260 ,
E,2018/10/28 9:52,3711,3711,142,4261 ,
E,2018/10/28 9:53,3715,3715,502,4266 ,
E,2018/10/28 9:54,3715,3715,110,4329 ,
