name,type,value,date,info
美国,840,1050000,1990,asd
日本,392,846000,1990,
德国,276,450000,1990,
意大利,380,236000,1990,
法国,250,202000,1990,
英国,826,183000,1990,
俄罗斯联邦,643,140000,1990,
中国,156,117000,1990,
巴西,76,102000,1990,
西班牙,724,99137.55015,1990,
加拿大,124,93377.44368,1990,
韩国,410,68724.7692,1990,
墨西哥,484,57451.72122,1990,
印度,356,57020.20088,1990,
荷兰,528,53223.42742,1990,
土耳其,792,52403.98624,1990,
瑞士,756,51494.77499,1990,
台湾,158,50665.19169,1990,
瑞典,752,47608.48995,1990,
比利时,56,42091.01391,1990,
澳大利亚,36,41048.14515,1990,
阿根廷,32,34837.79502,1990,
奥地利,40,32596.25428,1990,
乌克兰,804,31370.61535,1990,
芬兰,246,27595.86416,1990,
印度尼西亚,360,27467.90051,1990,
南非,710,24622.05545,1990,
泰国,764,24172.99291,1990,
波兰,616,21653.8222,1990,
丹麦,208,20550.98993,1990,
伊朗,364,13984.70864,1990,
葡萄牙,620,13388.59637,1990,
希腊,300,13373.65887,1990,
罗马尼亚,642,13368.06152,1990,
菲律宾,608,13073.64253,1990,
委内瑞拉,862,12800.87921,1990,
挪威,578,12352.90594,1990,
波多黎各,630,12224.03884,1990,
香港,344,11215.8577,1990,
捷克,203,10696.3331,1990,
马来西亚,458,10664.81815,1990,
以色列,376,10482.47229,1990,
沙特阿拉伯,682,10035.98418,1990,
爱尔兰,372,9561.759264,1990,
新加坡,702,9490.308224,1990,
塞尔维亚,688,8810.130406,1990,
新西兰,554,8078.972122,1990,
阿尔及利亚,12,7065.837057,1990,
白俄罗斯,112,6971.175006,1990,
匈牙利,348,6451.302797,1990,
埃及,818,6021.076328,1990,
智利,152,5892.598648,1990,
摩洛哥,504,5853.50542,1990,
巴基斯坦,586,5536.080933,1990,
秘鲁,604,5378.487372,1990,
斯洛伐克,703,5287.671353,1990,
斯洛文尼亚,705,5122.28273,1990,
保加利亚,100,4911.219635,1990,
朝鲜,408,4672.722208,1990,
克罗地亚,191,4376.204252,1990,
孟加拉国,50,3629.842497,1990,
阿联酋,784,3408.048749,1990,
乌兹别克斯坦,860,3406.668415,1990,
厄瓜多尔,218,3401.442,1990,
古巴,192,3259.194314,1990,
拉脱维亚,428,3129.086891,1990,
尼日利亚,566,2712.837663,1990,
津巴布韦,716,2447.531913,1990,
科特迪瓦,384,2339.634166,1990,
多米尼加共和国,214,2330.731853,1990,
伊拉克,368,2323.00716,1990,
利比亚,434,2301.814587,1990,
突尼斯,788,2262.636523,1990,
哈萨克斯坦,398,2240.988601,1990,
卢森堡,442,2159.911288,1990,
科威特,414,2138.981817,1990,
肯尼亚,404,2042.80528,1990,
格鲁吉亚,268,1974.915551,1990,
乌拉圭,858,1913.94715,1990,
爱沙尼亚,233,1839.471225,1990,
立陶宛,440,1650.310538,1990,
刚果(金),180,1632.082564,1990,
斯里兰卡,144,1521.220484,1990,
哥斯达黎加,188,1456.993231,1990,
摩尔多瓦,498,1309.765993,1990,
危地马拉,320,1151.433252,1990,
阿塞拜疆,31,1150.841472,1990,
加纳,288,1060.518762,1990,
萨尔瓦多,222,1042.5,1990,
塔吉克斯坦,762,1026.807065,1990,
赞比亚,894,993.273611,1990,
塞内加尔,686,964.262675,1990,
卡塔尔,634,947.731067,1990,
冰岛,352,900.228383,1990,
波黑,70,889.72091,1990,
多民族玻利维亚国,68,825.689566,1990,
巴拉圭,600,820.669628,1990,
牙买加,388,819.81594,1990,
阿富汗,4,732.752119,1990,
塞浦路斯,196,721.468831,1990,
亚美尼亚,51,711.317861,1990,
坦桑尼亚,834,706.827337,1990,
吉尔吉斯斯坦,417,706.812138,1990,
特立尼达和多巴哥,780,680.705882,1990,
安哥拉,24,668.493883,1990,
马拉维,454,668.053697,1990,
约旦,400,647.419688,1990,
洪都拉斯,340,638.525144,1990,
叙利亚,760,612.751768,1990,
毛里求斯,480,594.75297,1990,
马耳他,470,552.496935,1990,
澳门,446,548.845353,1990,
巴林,48,541.742101,1990,
文莱,96,536.927574,1990,
埃塞俄比亚,231,518.380457,1990,
莫桑比克,508,516.645963,1990,
尼加拉瓜,558,485.82485,1990,
前南马其顿,807,472.069122,1990,
布基纳法索,854,435.26506,1990,
阿尔巴尼亚,8,428.704447,1990,
海地,332,424.6818,1990,
新喀里多尼亚,540,423.312377,1990,
缅甸,104,403.782005,1990,
斯威士兰,748,389.847466,1990,
阿曼,512,343.459774,1990,
列支敦士登,438,338.905687,1990,
加蓬,266,332.236671,1990,
巴勒斯坦,275,321.702081,1990,
圣马力诺,674,311.103742,1990,
蒙古,496,298.526503,1990,
中非,140,297.380532,1990,
纳米比亚,516,289.991793,1990,
乌干达,800,284.021187,1990,
法属波利尼西亚,258,282.851357,1990,
越南,887,280.774111,1990,
马里,466,278.609645,1990,
卢旺达,646,274.939545,1990,
马达加斯加,450,260.368759,1990,
黎巴嫩,422,257.658017,1990,
刚果(布),178,233.596127,1990,
黑山,499,222.570834,1990,
尼泊尔联邦民主共和国,524,219.446614,1990,
巴巴多斯,52,210.7,1990,
博茨瓦那,72,194.831445,1990,
布隆迪,108,188.642208,1990,
乍得,148,188.477023,1990,
多哥,768,185.92874,1990,
巴布亚新几内亚,598,179.552952,1990,
斐济,242,174.480773,1990,
尼日尔,562,165.280279,1990,
摩纳哥,492,151.188783,1990,
贝宁,204,147.000034,1990,
几内亚,324,128.72338,1990,
柬埔寨,116,126.125877,1990,
毛里塔尼亚,478,125.609516,1990,
苏里南,740,95.07247,1990,
巴哈马,44,94.607451,1990,
冈比亚,270,65.199595,1990,
莱索托,426,64.528959,1990,
利比里亚,430,63.041327,1990,
圭亚那,328,59.042672,1990,
格陵兰,304,57.557436,1990,
伯利兹,84,53.05,1990,
百慕大,60,48.794527,1990,
安道尔,20,47.779924,1990,
佛得角,132,39.799339,1990,
老挝,418,36.146569,1990,
科摩罗,174,31.038942,1990,
塞拉利昂,694,29.088129,1990,
圣卢西亚,662,28.748148,1990,
厄立特里亚,232,25.053194,1990,
几内亚比绍,624,23.600653,1990,
不丹,64,22.520225,1990,
索马里,706,20.105844,1990,
萨摩亚,882,18.322951,1990,
塞舌尔,690,17.26138,1990,
圣基茨和尼维斯,659,17.125926,1990,
圣文森特和格林纳丁斯,670,16.937367,1990,
阿鲁巴,533,15.604388,1990,
吉布提,262,14.389971,1990,
格林纳达,308,11.603704,1990,
安提瓜和巴布达,28,11.571311,1990,
多米尼克,212,11.114633,1990,
马尔代夫,462,10.763414,1990,
瓦努阿图,548,8.827292,1990,
圣多美和普林西比,678,8.732016,1990,
开曼群岛,136,8.169579,1990,
汤加,776,8.141489,1990,
所罗门群岛,90,6.7226,1990,
赤道几内亚,226,4.849582,1990,
东帝汶,626,4.298039,1990,
基里巴斯,296,3.273198,1990,
库克群岛,184,2.893643,1990,
蒙特塞拉特,500,2.62077,1990,
英属维尔京群岛,92,2.006424,1990,
马绍尔群岛,584,0.57225,1990,
帕劳,585,0.566769,1990,
图瓦卢,798,0.138865,1990,
美国,840,1050000,1991,
日本,392,965000,1991,
德国,276,464000,1991,
意大利,380,236000,1991,
法国,250,199000,1991,
英国,826,186000,1991,
俄罗斯联邦,643,146000,1991,
中国,156,123000,1991,
西班牙,724,103000,1991,
加拿大,124,89211.16981,1991,
巴西,76,88302.04349,1991,
韩国,410,80443.34882,1991,
墨西哥,484,69437.34033,1991,
台湾,158,56256.27447,1991,
土耳其,792,53043.15191,1991,
荷兰,528,52473.50113,1991,
瑞士,756,51951.77354,1991,
印度,356,47401.87136,1991,
瑞典,752,45285.29498,1991,
阿根廷,32,42561.75139,1991,
澳大利亚,36,41800.0048,1991,
比利时,56,40130.96274,1991,
乌克兰,804,38880.56863,1991,
奥地利,40,33318.50415,1991,
印度尼西亚,360,31797.59952,1991,
泰国,764,27984.75969,1991,
南非,710,25737.08484,1991,
波兰,616,23867.77258,1991,
芬兰,246,21923.15449,1991,
丹麦,208,20392.69127,1991,
伊朗,364,16770.09653,1991,
葡萄牙,620,14277.01466,1991,
菲律宾,608,13661.48156,1991,
委内瑞拉,862,13440.86381,1991,
希腊,300,13363.34534,1991,
波多黎各,630,12763.36433,1991,
马来西亚,458,12553.87748,1991,
挪威,578,12133.68775,1991,
新加坡,702,11571.41617,1991,
沙特阿拉伯,682,11235.68063,1991,
以色列,376,11205.09387,1991,
香港,344,11012.00364,1991,
爱尔兰,372,9129.304731,1991,
罗马尼亚,642,8711.352353,1991,
捷克,203,8100.459435,1991,
塞尔维亚,688,7962.794012,1991,
新西兰,554,7829.183205,1991,
白俄罗斯,112,7549.546362,1991,
智利,152,6938.874812,1991,
匈牙利,348,6205.248544,1991,
埃及,818,6198.724792,1991,
巴基斯坦,586,5912.818937,1991,
摩洛哥,504,5903.486204,1991,
秘鲁,604,5629.800255,1991,
阿尔及利亚,12,5095.171687,1991,
乌兹别克斯坦,860,4028.276836,1991,
厄瓜多尔,218,4013.892,1991,
朝鲜,408,3962.873022,1991,
斯洛文尼亚,705,3874.591977,1991,
孟加拉国,50,3869.6673,1991,
斯洛伐克,703,3756.462026,1991,
克罗地亚,191,3598.982467,1991,
阿联酋,784,3432.289071,1991,
立陶宛,440,3288.792101,1991,
古巴,192,3033.446823,1991,
拉脱维亚,428,3029.716904,1991,
尼日利亚,566,2897.09815,1991,
哈萨克斯坦,398,2724.818578,1991,
津巴布韦,716,2686.308919,1991,
利比亚,434,2502.730151,1991,
多米尼加共和国,214,2414.268095,1991,
突尼斯,788,2399.194359,1991,
乌拉圭,858,2271.421882,1991,
科特迪瓦,384,2066.592422,1991,
肯尼亚,404,2012.052015,1991,
卢森堡,442,1993.238617,1991,
格鲁吉亚,268,1863.0638,1991,
爱沙尼亚,233,1686.41352,1991,
