cus,cus_code,mon,cus_simple,mon_axis,influence_i,contribution_h_i,contribution_t_i,sum_time_i,sum_time_change_h_i,sum_time_change_t_i,influence_e,contribution_h_e,contribution_t_e,sum_time_e,sum_time_change_e,sum_time_change_t_e,time_i,time_e,time_paperless_i,time_paperless_e,time_paper_i,time_paper_e,time_pre_declare_i,time_pre_declare_e,time_normal_declare_i,time_normal_declare_e,time_man_examine_i,time_man_examine_e,time_com_examine_i,time_com_examine_e,time_check_i,time_check_e,time_nocheck_i,time_nocheck_e,time_tax_i,time_tax_e,time_notax_i,time_notax_e,passtime_man_examine_i,passtime_man_examine_e,passtime_check_i,passtime_check_e,passtime_bill_i,passtime_bill_e,passtime_tax_i,passtime_tax_e,passtime_etax_i,passtime_etax_e,passtime_no_etax_i,passtime_no_etax_e,time_without_pct1_i,time_without_pct5_i,time_without_pct10_i,time_pct1_i,time_pct5_i,time_pct10_i,time_without_pct1_e,time_without_pct5_e,time_without_pct10_e,time_pct1_e,time_pct5_e,time_pct10_e,num_all_i,num_all_e,rate24_i,rate24_e
全国,142,201401,全国,1401,100,100,100,43667583.15,0,0,100,100,100,12471186.24,0,0,35.15,3.39,18.73,2.42,52.4,7.55,19.74,2.19,36.35,3.49,67.11,6.67,29.64,3.36,132.32,23.51,29.57,2.94,42.19,13.89,26.49,3.38,6.89,1.07,53.18,8.55,31.55,3.53,45.44,12.88,47.32,17.33,32.93,7.49,27.73,20.37,15.6,769.85,315.9,211.07,2.37,1.28,0.68,104.29,43.47,27.77,1242321,3678816,69.58,96.61
全国,142,201402,全国,1402,100,100,100,33737079.6,-9930503.55,0,100,100,100,7814808.9,-4656377.34,0,34.44,4.14,18.05,3.09,54.08,8.56,18.23,1.97,35.76,4.26,66.4,9.17,29.41,4.1,129.67,20.96,29.39,3.87,40.13,13.31,27.54,4.13,5.5,1.03,52.37,9.01,29.22,3.71,38.93,14.08,40,18.62,31.2,7.37,26.41,18.44,14.01,829.65,338.48,218.3,2.86,1.53,0.72,130.64,53.7,34.94,979590,1887635,71.48,95.36
全国,142,201403,全国,1403,100,100,100,44029752.54,10292672.94,0,100,100,100,9946949.07,2132140.17,0,33.09,3.13,17.17,2.17,56.38,7.64,19.87,1.99,34.17,3.22,62.25,6.97,28.36,3.1,125.02,24.92,27.98,2.6,41.04,15.63,23.46,3.12,6.56,1.08,47.42,8.17,26.8,2.74,38.37,18.64,39.05,26.95,33.3,8.09,25.5,18.78,14.17,783.99,304.87,203.38,2.09,1.09,0.64,106.42,41.91,25.59,1330606,3177939,71.72,97
全国,142,201404,全国,1404,100,100,100,46616724.77,2586972.23,0,100,100,100,15106416.75,5159467.68,0,34.01,4.25,18.63,3.06,59.71,10.86,20.66,1.94,35.03,4.41,69.4,7.11,28.22,4.22,125.08,26.18,28.94,3.77,43.36,17.49,22.48,4.23,6.96,1.19,46.25,8.77,27.25,4.06,40.61,26.87,41.29,38.05,35.31,9.97,27.03,19.94,14.8,725.49,301.33,206.92,2.89,1.63,0.88,138.65,53.94,34.53,1370677,3554451,71.19,95.7
全国,142,201405,全国,1405,100,100,100,43942327.89,-2674396.88,0,100,100,100,13932256.98,-1174159.77,0,33.47,3.86,18.24,2.9,62.93,10.5,19.39,1.94,34.53,4.01,65.7,6.94,28.17,3.83,126.01,28.58,28.39,3.29,42.42,14.34,22.42,3.85,6.9,1.11,48.15,9.57,26.48,5.13,44.43,14.74,45.82,20.39,33.12,7,25.83,18.82,14,789.16,311.79,208.65,2.64,1.48,0.83,125.13,49.08,31.15,1312887,3609393,71.82,96.17
全国,142,201406,全国,1406,100,100,100,42435983.73,-1506344.16,0,100,100,100,12406109.43,-1526147.55,0,32.97,3.63,18.18,2.8,66.58,11.39,22.4,1.96,33.72,3.77,62.78,8.5,28.05,3.59,124.87,24.97,28.03,3.16,41.47,14.61,22.66,3.62,6.9,1.2,50.18,8.86,24.9,2.96,37.63,9.88,38.02,11.74,34.19,7.02,25.17,18.49,13.71,805.06,308.07,206.34,2.49,1.37,0.73,116.5,46.63,29.76,1287109,3417661,72.69,96.28
全国,142,201407,全国,1407,100,100,100,45781358.25,3345374.52,0,100,100,100,13687013.12,1280903.69,0,32.25,3.52,18.72,2.79,67.63,12.6,19.78,1.93,33.15,3.64,62.76,6.76,26.87,3.5,118.4,23.62,27.67,3.11,40.9,13.87,21.53,3.51,6.88,1.13,45.02,8.36,26.17,2.9,35.84,10,35.9,11.46,35.24,7.43,24.09,17.54,13.05,840.69,311.78,205.08,2.48,1.39,0.74,106.38,44.01,28.6,1419577,3888356,73.45,96.31
全国,142,201408,全国,1408,100,100,100,43469047.44,-2312310.81,0,100,100,100,12568285.15,-1118727.97,0,33.67,3.31,21.66,2.66,71.1,13.37,19.88,1.86,34.8,3.43,78.82,6.61,25.52,3.29,118.92,25.77,29.11,2.87,39.35,13.97,26.79,3.3,6.74,1.21,48.82,8.46,26.49,2.64,34.91,10.52,34.86,12.2,35.49,7.31,23.17,16.78,12.52,1072.78,354.46,223.99,2.25,1.21,0.64,108.8,43.27,27.36,1291032,3797065,74.29,96.65
全国,142,201409,全国,1409,100,100,100,47535220.8,4066173.36,0,100,100,100,11178612.95,-1389672.2,0,34.24,3.05,20.07,2.58,90.21,11.63,19.95,1.9,35.24,3.13,74.76,8.28,27.3,3.01,126.75,25.1,28.97,2.62,41.22,13.06,25.59,3.03,6.19,1.64,51.06,9.58,23.27,2.52,30.01,8.54,29.63,8.96,34.09,7.73,24.39,17.67,13.01,1009.28,349.09,225.3,2.16,1.17,0.62,91.21,38.7,24.94,1388295,3665119,73.77,96.91
全国,142,201410,全国,1410,100,100,100,41214573.09,-6320647.71,0,100,100,100,12615823.63,1437210.68,0,33.21,3.59,22.06,3.1,85.79,13.51,19.75,1.82,34.21,3.7,70.67,6.78,27.33,3.57,131.63,29.01,28.04,3.14,41.24,11.34,23.47,3.58,5.89,5,54.76,9.34,23.15,2.75,29.59,6.21,29.41,6.05,31.62,6.52,23.89,16.55,12.31,955.89,349.63,221.24,2.57,1.45,0.74,104.68,44.22,29.2,1241029,3514157,74.17,96.09
