FileName,PicDate,Latitude,Longitude,Type,Country,Province,City,Address,Cam
,2018/1/1 18:33,24.49473667,118.1222217,travel,china,fujian,xiamen,福建省厦门市思明区嘉莲街道汇腾大厦公寓楼天虹商场(厦门汇腾店),
,2018/1/1 18:33,24.49471333,118.1222217,travel,china,fujian,xiamen,福建省厦门市思明区嘉莲街道汇腾大厦公寓楼天虹商场(厦门汇腾店),
,2018/1/1 18:33,24.49472833,118.122275,travel,china,fujian,xiamen,福建省厦门市思明区嘉莲街道汇腾大厦公寓楼天虹商场(厦门汇腾店),
,2018/1/5 16:31,24.46645833,118.0695717,travel,china,fujian,xiamen,福建省厦门市思明区鹭江街道鹭江道87号厦门海关,
,2018/1/5 16:31,24.46645833,118.0695717,travel,china,fujian,xiamen,福建省厦门市思明区鹭江街道鹭江道87号厦门海关,
,2018/1/5 22:06,24.49301667,118.115875,travel,china,fujian,xiamen,福建省厦门市思明区嘉莲街道长青北里(松柏路),
,2018/1/8 8:08,24.48421333,118.0935133,travel,china,fujian,xiamen,福建省厦门市思明区__街道湖滨中路212号友丰湖景酒店,
,2018/1/8 11:09,24.46636667,118.069625,travel,china,fujian,xiamen,福建省厦门市思明区鹭江街道鹭江道厦门海关,
,2018/1/8 11:09,24.46630333,118.0695883,travel,china,fujian,xiamen,福建省厦门市思明区鹭江街道鹭江道厦门海关,
,2018/1/8 11:09,24.46630333,118.0695883,travel,china,fujian,xiamen,福建省厦门市思明区鹭江街道鹭江道厦门海关,
,2018/1/8 15:17,24.46759167,118.0698,travel,china,fujian,xiamen,福建省厦门市思明区鹭江街道邮电大厦厦门国际中心,
,2018/1/8 15:17,24.46759167,118.0698,travel,china,fujian,xiamen,福建省厦门市思明区鹭江街道邮电大厦厦门国际中心,
,2018/1/8 15:17,24.46759167,118.0698,travel,china,fujian,xiamen,福建省厦门市思明区鹭江街道邮电大厦厦门国际中心,
,2018/1/8 15:27,24.46631167,118.0703133,travel,china,fujian,xiamen,福建省厦门市思明区鹭江街道禾祥西二路兴鸿广场,
,2018/1/8 17:19,24.46582833,118.0695583,travel,china,fujian,xiamen,福建省厦门市思明区鹭江街道鹭江道兴鸿广场,
,2018/1/8 22:08,24.493045,118.1159283,travel,china,fujian,xiamen,福建省厦门市思明区嘉莲街道长青北里(松柏路),
,2018/1/8 22:08,24.493045,118.1159283,travel,china,fujian,xiamen,福建省厦门市思明区嘉莲街道长青北里(松柏路),
,2018/1/10 7:26,24.49296667,118.11737,travel,china,fujian,xiamen,福建省厦门市思明区嘉莲街道长青路松柏公园,
,2018/1/10 7:26,24.49296667,118.11737,travel,china,fujian,xiamen,福建省厦门市思明区嘉莲街道长青路松柏公园,
,2018/1/10 7:26,24.49293333,118.1173333,travel,china,fujian,xiamen,福建省厦门市思明区嘉莲街道长青路松柏公园,
,2018/1/10 7:27,24.49293333,118.1173333,travel,china,fujian,xiamen,福建省厦门市思明区嘉莲街道长青路松柏公园,
,2018/1/10 7:27,24.49293333,118.1173333,travel,china,fujian,xiamen,福建省厦门市思明区嘉莲街道长青路松柏公园,
,2018/1/10 8:40,24.46638333,118.06952,travel,china,fujian,xiamen,福建省厦门市思明区鹭江街道鹭江道厦门海关,
,2018/1/10 9:42,24.46647,118.069795,travel,china,fujian,xiamen,福建省厦门市思明区鹭江街道鹭江道87号厦门海关,
,2018/1/10 9:47,24.46646333,118.0696117,travel,china,fujian,xiamen,福建省厦门市思明区鹭江街道鹭江道87号厦门海关,
,2018/1/10 12:46,24.466525,118.0699917,travel,china,fujian,xiamen,福建省厦门市思明区鹭江街道禾祥西二路厦门海关,
,2018/1/10 12:46,24.466525,118.0699917,travel,china,fujian,xiamen,福建省厦门市思明区鹭江街道禾祥西二路厦门海关,
,2018/1/10 12:46,24.466525,118.0699917,travel,china,fujian,xiamen,福建省厦门市思明区鹭江街道禾祥西二路厦门海关,
,2018/1/10 12:46,24.466525,118.0699917,travel,china,fujian,xiamen,福建省厦门市思明区鹭江街道禾祥西二路厦门海关,
,2018/1/10 16:25,24.46731667,118.0698,travel,china,fujian,xiamen,福建省厦门市思明区鹭江街道邮电大厦厦门国际中心,
,2018/1/10 16:25,24.46731667,118.0698,travel,china,fujian,xiamen,福建省厦门市思明区鹭江街道邮电大厦厦门国际中心,
,2018/1/10 16:25,24.46731667,118.0698,travel,china,fujian,xiamen,福建省厦门市思明区鹭江街道邮电大厦厦门国际中心,
,2018/1/10 16:25,24.46731667,118.0698,travel,china,fujian,xiamen,福建省厦门市思明区鹭江街道邮电大厦厦门国际中心,
,2018/1/10 16:27,24.46643333,118.069695,travel,china,fujian,xiamen,福建省厦门市思明区鹭江街道鹭江道87号厦门海关,
,2018/1/10 16:27,24.46643333,118.069695,travel,china,fujian,xiamen,福建省厦门市思明区鹭江街道鹭江道87号厦门海关,
,2018/1/10 16:29,24.46705333,118.06907,travel,china,fujian,xiamen,福建省厦门市思明区鹭江街道厦门海关,
,2018/1/10 16:29,24.46705333,118.06907,travel,china,fujian,xiamen,福建省厦门市思明区鹭江街道厦门海关,
,2018/1/10 17:16,24.466695,118.0688783,travel,china,fujian,xiamen,福建省厦门市思明区鹭江街道厦门海关,
